participant,condition,category,count,n_events,proportion
P01,A,Correct key + correct finger,47,270,0.17407407407407408
P01,A,Correct key + wrong finger,223,270,0.825925925925926
P01,A,Wrong key + correct finger,0,270,0.0
P01,A,Wrong key + wrong finger,0,270,0.0
P01,A,Unresolved finger,0,270,0.0
P01,A,No response (timeout),0,270,0.0
P01,B,Correct key + correct finger,265,270,0.9814814814814815
P01,B,Correct key + wrong finger,5,270,0.018518518518518517
P01,B,Wrong key + correct finger,0,270,0.0
P01,B,Wrong key + wrong finger,0,270,0.0
P01,B,Unresolved finger,0,270,0.0
P01,B,No response (timeout),0,270,0.0
P01,C,Correct key + correct finger,267,270,0.9888888888888889
P01,C,Correct key + wrong finger,2,270,0.007407407407407408
P01,C,Wrong key + correct finger,1,270,0.003703703703703704
P01,C,Wrong key + wrong finger,0,270,0.0
P01,C,Unresolved finger,0,270,0.0
P01,C,No response (timeout),0,270,0.0
