participant,trial_index,phase,phase_number,is_performance,quiz_name,event_index,melody,target_note,target_note_name,target_finger,target_onset_s,target_offset_s,target_duration_s,target_duration_beats,target_hand,actual_note,actual_finger,actual_onset_time,actual_offset_time,actual_duration_s,due_time,cue_onset_time,key_correct,finger_correct,finger_reviewed,played,signed_onset_error_ms,absolute_onset_error_ms,rt_ms,duration_error_ms,absolute_duration_error_ms,complete_success,recue_count,first_cue_onset_time,validity
P01,2,training,2,False,rhythm-P01-T02,5,melody_seed415411,62,D4,R2,8.0,8.75,0.75,1.0,R,62,R2,1787936555.352768,1787936556.7507799,1.3980119228363037,,1787936555.070196,True,True,False,True,,,282.57203102111816,648.0119228363037,648.0119228363037,False,0,1787936555.070196,valid
P01,2,training,2,False,rhythm-P01-T02,6,melody_seed415411,62,D4,R2,9.0,9.75,0.75,1.0,R,62,R2,1787936556.8758101,1787936558.285582,1.4097719192504883,,1787936556.569982,True,True,False,True,,,305.8280944824219,659.7719192504883,659.7719192504883,False,0,1787936556.569982,valid
P01,2,training,2,False,rhythm-P01-T02,7,melody_seed415411,59,B3,L2,10.0,11.75,1.75,2.0,L,59,L2,1787936558.7124841,1787936561.1912162,2.478732109069824,,1787936558.0718532,True,True,False,True,,,640.6309604644775,728.7321090698242,728.7321090698242,False,0,1787936558.0718532,valid
P01,2,training,2,False,rhythm-P01-T02,8,melody_seed415411,59,B3,L2,13.0,13.75,0.75,1.0,L,59,L2,1787936561.348576,1787936562.625896,1.2773199081420898,,1787936560.941925,True,True,False,True,,,406.6510200500488,527.3199081420898,527.3199081420898,False,0,1787936560.941925,valid
P01,2,training,2,False,rhythm-P01-T02,9,melody_seed415411,60,C4,L1,14.0,14.75,0.75,1.0,L,60,L1,1787936563.27851,1787936564.529827,1.251317024230957,,1787936562.5758138,True,True,False,True,,,702.6963233947754,501.31702423095703,501.31702423095703,False,0,1787936562.5758138,valid
P01,2,training,2,False,rhythm-P01-T02,10,melody_seed415411,59,B3,L2,15.0,15.75,0.75,1.0,L,59,L2,1787936564.837802,1787936566.289811,1.4520089626312256,,1787936564.476915,True,True,False,True,,,360.8870506286621,702.0089626312256,702.0089626312256,False,0,1787936564.476915,valid
P01,2,training,2,False,rhythm-P01-T02,11,melody_seed415411,55,G3,L4,16.0,17.75,1.75,2.0,L,55,L4,1787936566.64542,1787936569.203437,2.5580170154571533,,1787936566.044089,True,True,False,True,,,601.3309955596924,808.0170154571533,808.0170154571533,False,0,1787936566.044089,valid
P01,2,training,2,False,rhythm-P01-T02,12,melody_seed415411,55,G3,L4,19.0,19.75,0.75,1.0,L,55,L4,1787936569.320535,1787936570.824191,1.5036561489105225,,1787936568.8465521,True,True,False,True,,,473.9828109741211,753.6561489105225,753.6561489105225,False,0,1787936568.8465521,valid
P01,2,training,2,False,rhythm-P01-T02,13,melody_seed415411,59,B3,L2,20.0,20.75,0.75,1.0,L,59,L2,1787936571.0339,1787936572.6120582,1.5781581401824951,,1787936570.5486138,True,True,False,True,,,485.2862358093262,828.1581401824951,828.1581401824951,False,0,1787936570.5486138,valid
P01,2,training,2,False,rhythm-P01-T02,14,melody_seed415411,60,C4,L1,21.0,23.75,2.75,3.0,L,60,L1,1787936572.972279,1787936576.1858969,3.2136178016662598,,1787936572.248168,True,True,False,True,,,724.1110801696777,463.61780166625977,463.61780166625977,False,0,1787936572.248168,valid
P01,3,training,3,False,rhythm-P01-T03,0,melody_seed415411,67,G4,R5,0.0,0.75,0.75,1.0,R,67,R5,1787936587.955749,1787936589.233558,1.2778089046478271,,1787936587.2610712,True,True,False,True,,,694.6778297424316,527.8089046478271,527.8089046478271,False,0,1787936587.2610712,valid
P01,3,training,3,False,rhythm-P01-T03,1,melody_seed415411,65,F4,R4,1.0,1.75,0.75,1.0,R,65,R4,1787936589.828767,1787936591.328784,1.5000169277191162,,1787936589.162664,True,True,False,True,,,666.1031246185303,750.0169277191162,750.0169277191162,False,0,1787936589.162664,valid
P01,3,training,3,False,rhythm-P01-T03,2,melody_seed415411,65,F4,R4,2.0,2.75,0.75,1.0,R,65,R4,1787936591.4660292,1787936592.994852,1.528822898864746,,1787936591.0626402,True,True,False,True,,,403.38897705078125,778.8228988647461,778.8228988647461,False,0,1787936591.0626402,valid
P01,3,training,3,False,rhythm-P01-T03,3,melody_seed415411,62,D4,R2,3.0,5.75,2.75,3.0,R,62,R2,1787936593.079751,1787936596.247838,3.1680870056152344,,1787936592.698997,True,True,False,True,,,380.7539939880371,418.0870056152344,418.0870056152344,False,0,1787936592.698997,valid
P01,3,training,3,False,rhythm-P01-T03,4,melody_seed415411,64,E4,R3,7.0,7.75,0.75,1.0,R,64,R3,1787936596.945229,1787936598.110844,1.1656148433685303,,1787936596.266809,True,True,False,True,,,678.4200668334961,415.6148433685303,415.6148433685303,False,0,1787936596.266809,valid
P01,3,training,3,False,rhythm-P01-T03,5,melody_seed415411,62,D4,R2,8.0,8.75,0.75,1.0,R,62,R2,1787936598.4202182,1787936599.857145,1.4369268417358398,,1787936598.1694431,True,True,False,True,,,250.77509880065918,686.9268417358398,686.9268417358398,False,0,1787936598.1694431,valid
