participant,condition,theta,fa,n_trials,n_events,source
P09,B,0.3,0.9333333333333333,9,270,automatic_target_probability
P09,B,0.35,0.9296296296296297,9,270,automatic_target_probability
P09,B,0.4,0.925925925925926,9,270,automatic_target_probability
P09,B,0.45,0.9185185185185186,9,270,automatic_target_probability
P09,B,0.5,0.8962962962962963,9,270,automatic_target_probability
P09,C,0.3,0.9703703703703704,9,270,automatic_target_probability
P09,C,0.35,0.9703703703703704,9,270,automatic_target_probability
P09,C,0.4,0.9481481481481482,9,270,automatic_target_probability
P09,C,0.45,0.9185185185185186,9,270,automatic_target_probability
P09,C,0.5,0.8962962962962963,9,270,automatic_target_probability
