condition,target_finger,actual_finger,count
A,L1,L2,3
A,L1,L3,5
A,L1,L4,5
A,L1,R2,7
A,L2,L2,10
A,L2,L3,15
A,L2,L4,4
A,L2,L5,1
A,L2,R2,12
A,L3,L2,8
A,L3,L3,7
A,L3,L4,6
A,L3,R2,9
A,L4,L2,3
A,L4,L3,10
A,L4,L4,4
A,L4,L5,2
A,L4,R2,9
A,L5,L2,8
A,L5,L3,5
A,L5,L4,2
A,L5,R2,4
A,R1,L3,2
A,R1,R2,15
A,R2,L3,4
A,R2,R2,30
A,R3,L2,1
A,R3,L3,2
A,R3,R2,21
A,R4,L2,1
A,R4,L3,3
A,R4,R1,1
A,R4,R2,29
A,R4,R3,1
A,R5,L2,1
A,R5,L3,3
A,R5,R2,17
B,L1,L1,23
B,L1,R1,1
B,L2,L2,31
B,L2,R2,1
B,L3,L2,2
B,L3,L3,26
B,L3,L4,1
B,L3,R2,1
B,L4,L3,1
B,L4,L4,27
B,L5,L5,21
B,R1,R1,25
B,R1,R2,2
B,R2,R2,29
B,R2,R3,1
B,R3,L3,1
B,R3,R2,2
B,R3,R3,31
B,R4,R3,2
B,R4,R4,21
B,R5,R4,1
B,R5,R5,20
C,L1,L1,17
C,L1,L2,1
C,L2,L2,28
C,L3,L2,1
C,L3,L3,31
C,L4,L4,26
C,L5,L5,31
C,R1,R1,20
C,R2,R2,28
C,R3,R2,4
C,R3,R3,30
C,R4,R3,4
C,R4,R4,20
C,R5,R5,29
