condition,target_finger,n,n_judged,fa,rt_s
A,L5,19,19,0.0,0.47006413811131526
A,L4,28,28,0.14285714285714288,0.4158892546381269
A,L3,30,30,0.2333333333333333,0.4124826272328695
A,L2,42,42,0.2380952380952381,0.4170539549418858
A,L1,20,20,0.0,0.41213771104812624
A,R1,17,17,0.0,0.3648664109847125
A,R2,34,34,0.8823529411764706,0.39678289609796863
A,R3,24,24,0.0,0.37360771497090656
A,R4,35,35,0.0,0.44511718068804057
A,R5,21,21,0.0,0.45965637479509625
B,L5,21,21,1.0,0.9851932525634766
B,L4,28,28,0.9642857142857143,1.1146966048649378
B,L3,30,30,0.8666666666666667,1.0275834639867147
B,L2,32,32,0.96875,0.8703842759132385
B,L1,24,24,0.9583333333333333,1.2223493854204814
B,R1,27,27,0.9259259259259259,0.8177813688913981
B,R2,30,30,0.9333333333333332,0.8746094703674316
B,R3,34,34,0.9411764705882354,0.9638327991261202
B,R4,23,23,0.9565217391304348,0.9466491367505945
B,R5,21,21,0.9523809523809524,0.9737675530569894
C,L5,31,31,1.0,0.7010173259242889
C,L4,26,26,1.0,0.7786577022992648
C,L3,32,32,1.0,0.5900958478450775
C,L2,28,28,1.0,0.5832656621932983
C,L1,18,18,0.9444444444444444,0.6618068350685967
C,R1,20,20,1.0,0.561871874332428
C,R2,28,28,1.0,0.5434997762952533
C,R3,34,34,1.0,0.639468087869532
C,R4,24,24,0.9583333333333333,0.7189953525861105
C,R5,29,29,1.0,0.7744527027524751
