participant,condition,level,n_trials,n_analyzed,key_accuracy,fa_main,fa_given_key,rt_correct_key_s,rt_complete_s
P09,A,alpha,3,3,1.0,0.24444444444444446,0.24444444444444446,0.38613310654958094,0.40416626930236815
P09,A,beta,3,3,1.0,0.18888888888888888,0.18888888888888888,0.3994285980860392,0.4048749038151332
P09,A,gamma,3,3,0.9888888888888889,0.13333333333333333,0.13639846743295017,0.4675649109471347,0.4437304900752173
P09,B,alpha,3,3,1.0,0.9444444444444445,0.9444444444444445,1.0126953072018092,1.0053338049421314
P09,B,beta,3,3,0.9888888888888889,0.9444444444444445,0.9551724137931035,0.8478477494470004,0.8370090115246515
P09,B,gamma,3,3,0.9888888888888889,0.9444444444444445,0.9547892720306513,1.0671145580737529,1.0651394723069674
P09,C,alpha,3,3,1.0,0.9888888888888889,0.9888888888888889,0.6717040856679279,0.6733275359617795
P09,C,beta,3,3,1.0,0.9888888888888889,0.9888888888888889,0.6667042679256863,0.6653568994953258
P09,C,gamma,3,3,1.0,1.0,1.0,0.6284364144007365,0.6284364144007365
