participant,finger_id,x,y,estimator
P09,1,1.0165578573942184,0.41330100676497894,naive
P09,2,0.8691120834673866,0.3057293642231108,naive
P09,3,0.9905604041855911,0.3750303720854916,naive
P09,4,1.0278476549654592,0.2721321096225662,naive
P09,5,0.9663385530797447,0.2298274616884992,naive
P09,1,0.809907354011729,0.41330100676497894,oldham
P09,2,0.7162474013558311,0.3057293642231108,oldham
P09,3,0.8030452181428454,0.3750303720854916,oldham
P09,4,0.8917816001541761,0.2721321096225662,oldham
P09,5,0.8514248222354951,0.2298274616884992,oldham
P09,1,1.014294845086557,0.41621059401768656,split_half
P09,2,0.8867599894018734,0.28172821215220867,split_half
P09,3,0.9805542266730106,0.3882385264020979,split_half
P09,4,0.9132039642333984,0.39155262080179587,split_half
P09,5,0.9829221205277876,0.2106254362223442,split_half
