participant,condition,finger_id,n,n_left,n_right,n_judged,fa,rt_s,n_rt_complete,rt_complete_s
P09,A,1,37,20,17,37,0.0,0.39041846507304423,0,
P09,A,2,76,42,34,76,0.5263157894736842,0.4079853233538176,40,0.40608019232749937
P09,A,3,54,30,24,54,0.12962962962962962,0.39520488844977486,7,0.42850143568856375
P09,A,4,63,28,35,63,0.06349206349206349,0.4321269913325234,4,0.3865395188331604
P09,A,5,40,19,21,40,0.0,0.46460006237030027,0,
P09,B,1,51,24,27,51,0.9411764705882353,1.0081663178462608,48,1.0165578573942184
P09,B,2,62,32,30,62,0.9516129032258065,0.8724287248426869,59,0.8691120834673866
P09,B,3,64,30,34,64,0.90625,0.9937159232795238,58,0.9905604041855911
P09,B,4,51,28,23,51,0.9607843137254902,1.0389104917937635,49,1.0278476549654592
P09,B,5,42,21,21,42,0.9761904761904762,0.979480402810233,41,0.9663385530797447
P09,C,1,38,18,20,38,0.9736842105263158,0.6092094873127184,37,0.6032568506292395
P09,C,2,56,28,28,56,1.0,0.5633827192442757,56,0.5633827192442757
P09,C,3,66,32,34,66,1.0,0.6155300321000995,66,0.6155300321000995
P09,C,4,50,26,24,50,0.98,0.7500197744369507,49,0.755715545342893
P09,C,5,60,31,29,60,1.0,0.7365110913912455,60,0.7365110913912455
