participant,condition,trial_index,level,sequence,rt_ms,fa_pct,included
P09,C,1,alpha,1799551287-α-4,836.0519250233967,100.0,True
P09,B,2,alpha,1799551287-α-2,1285.1468563079834,96.66666666666667,True
P09,B,3,gamma,1799551287-γ-7,1279.4543266296387,96.66666666666667,True
P09,C,4,beta,1799551287-β-3,699.4752963383992,100.0,True
P09,A,5,gamma,1799551287-γ-2,480.88200092315674,3.3333333333333335,True
P09,C,6,gamma,1799551287-γ-5,622.7701743443806,100.0,True
P09,C,7,gamma,1799551287-γ-6,661.6858243942261,100.0,True
P09,B,8,beta,1799551287-β-1,860.649561882019,93.33333333333333,True
P09,B,9,alpha,1799551287-α-9,941.0219589869181,90.0,True
P09,A,10,gamma,1799551287-γ-8,501.3446479008116,26.666666666666668,True
P09,C,11,beta,1799551287-β-4,712.2359911600748,96.66666666666667,True
P09,A,12,gamma,1799551287-γ-4,420.4680840174357,10.0,True
P09,C,13,alpha,1799551287-α-5,566.8931563695272,100.0,True
P09,A,14,beta,1799551287-β-8,389.15969530741376,23.333333333333332,True
P09,B,15,gamma,1799551287-γ-1,952.6825773304906,90.0,True
P09,C,16,beta,1799551287-β-5,588.4015162785848,100.0,True
P09,C,17,alpha,1799551287-α-7,612.1671756108602,96.66666666666667,True
P09,A,18,beta,1799551287-β-9,433.55936209360755,10.0,True
P09,A,19,alpha,1799551287-α-3,369.4378852844238,33.33333333333333,True
P09,B,20,alpha,1799551287-α-8,811.9171063105265,96.66666666666667,True
P09,A,21,beta,1799551287-β-6,375.5667368570964,23.333333333333332,True
P09,B,22,beta,1799551287-β-2,896.0684825634135,93.33333333333333,True
P09,A,23,alpha,1799551287-α-1,432.7101707458496,16.666666666666664,True
P09,C,24,gamma,1799551287-γ-3,600.8532444636027,100.0,True
P09,B,25,gamma,1799551287-γ-9,969.2067702611288,96.66666666666667,True
P09,B,26,beta,1799551287-β-7,786.8252038955688,96.66666666666667,True
P09,A,27,alpha,1799551287-α-6,356.25126361846924,23.333333333333332,True
