participant,condition,trial_index,event_index,distance,metric
P19,C,10,7,1,key-index
P19,C,13,10,1,key-index
P19,B,15,12,1,key-index
P19,B,15,13,1,key-index
P19,B,15,14,1,key-index
P19,B,15,16,1,key-index
P19,B,15,17,1,key-index
P19,B,15,21,1,key-index
P19,B,16,6,1,key-index
P19,B,16,13,1,key-index
P19,B,20,28,1,key-index
P19,B,23,7,1,key-index
P19,B,27,14,1,key-index
P19,B,27,22,1,key-index
