condition,target_finger,actual_finger,count
A,L1,L2,3
A,L1,L3,7
A,L1,L4,2
A,L1,L5,1
A,L1,R2,5
A,L2,L2,8
A,L2,L3,12
A,L2,L4,3
A,L2,L5,4
A,L2,R2,6
A,L2,R3,3
A,L3,L2,6
A,L3,L3,12
A,L3,L4,1
A,L3,L5,2
A,L3,R2,10
A,L4,L2,7
A,L4,L3,9
A,L4,L4,6
A,L4,L5,1
A,L4,R2,5
A,L4,R3,3
A,L5,L2,3
A,L5,L3,13
A,L5,L4,3
A,L5,R2,4
A,R1,R2,10
A,R1,R3,13
A,R2,L2,1
A,R2,L3,4
A,R2,R2,8
A,R2,R3,14
A,R2,R4,3
A,R3,L3,1
A,R3,R1,1
A,R3,R2,16
A,R3,R3,11
A,R3,R4,1
A,R4,L3,1
A,R4,R2,13
A,R4,R3,7
A,R4,R4,1
A,R5,L3,1
A,R5,R2,14
A,R5,R3,8
A,R5,R4,3
B,L1,L1,19
B,L1,R1,1
B,L2,L2,27
B,L2,L3,2
B,L2,R2,2
B,L3,L2,1
B,L3,L3,28
B,L4,L3,2
B,L4,L4,28
B,L5,L3,1
B,L5,L4,1
B,L5,L5,27
B,R1,R1,13
B,R2,R2,26
B,R2,R3,1
B,R3,L3,1
B,R3,R2,1
B,R3,R3,33
B,R4,R3,3
B,R4,R4,25
B,R5,R4,4
B,R5,R5,24
C,L1,L1,24
C,L2,L2,35
C,L3,L3,32
C,L4,L4,21
C,L5,L3,1
C,L5,L5,18
C,R1,R1,28
C,R2,R2,35
C,R3,R3,27
C,R4,R3,5
C,R4,R4,27
C,R5,R5,17
