participant,position,condition,level,fa_main_raw,fa_main_adjusted,rt_correct_key_s_raw,rt_correct_key_s_adjusted
P19,1,C,beta,1.0,0.9444444444444444,1.0431087334950766,1.0440774443951688
P19,3,C,beta,1.0,0.9444444444444444,0.711730972925822,0.7126996838259143
P19,4,B,beta,1.0,1.0444444444444443,0.8701738913853964,0.8438421439904841
P19,5,C,gamma,0.9666666666666667,0.9333333333333332,0.9168806632359823,0.9407057364314082
P19,6,C,alpha,1.0,0.9555555555555555,0.7020095348358154,0.883878967998411
P19,7,B,alpha,1.0,0.9888888888888888,0.9938920100529989,0.9504420741296906
P19,8,C,gamma,1.0,0.9666666666666666,0.7768871943155925,0.8007122675110184
P19,9,C,beta,1.0,0.9444444444444444,0.698610266049703,0.6995789769497953
P19,10,C,alpha,0.9666666666666667,0.9222222222222222,0.6396562888704497,0.8215257220330453
P19,12,B,gamma,1.0,1.1,0.9234021663665771,0.7865206324266836
P19,13,C,gamma,0.9666666666666667,0.9333333333333332,0.6911130280330263,0.7149381012284522
P19,15,B,gamma,0.7,0.7999999999999999,1.0443344910939534,0.9074529571540598
P19,16,B,beta,0.8333333333333334,0.8777777777777778,0.872118421963283,0.8457866745683708
P19,18,C,alpha,1.0,0.9555555555555555,0.569081981976827,0.7509514151394227
P19,19,B,gamma,0.8333333333333334,0.9333333333333333,0.8992640495300293,0.7623825155901357
P19,20,B,alpha,0.9,0.8888888888888888,0.7886393645714069,0.7451894286480987
P19,23,B,alpha,0.9666666666666667,0.9555555555555555,0.8041745383163978,0.7607246023930896
P19,27,B,beta,0.8666666666666667,0.9111111111111111,0.7930590340069362,0.7667272866120239
