condition,target_finger,n,n_judged,fa,rt_s
A,L5,23,23,0.0,0.5875615140666133
A,L4,31,31,0.1935483870967742,0.5293380291231217
A,L3,31,31,0.3870967741935484,0.5621624838921332
A,L2,36,36,0.2222222222222222,0.5930075314309862
A,L1,18,18,0.0,0.5316608746846517
A,R1,23,23,0.0,0.5175535471543021
A,R2,30,30,0.26666666666666666,0.6055531581242879
A,R3,30,30,0.36666666666666664,0.4766205867131551
A,R4,22,22,0.045454545454545456,0.5349638245322488
A,R5,26,26,0.0,0.5422254342299241
B,L5,29,29,0.8275862068965517,0.9567657750228356
B,L4,30,30,0.9,0.904213285446167
B,L3,29,29,0.9655172413793103,0.8151499896213926
B,L2,31,31,0.8387096774193549,0.9682442603572723
B,L1,20,20,0.9,0.9924451828002929
B,R1,13,13,1.0,0.8395077998821552
B,R2,27,27,0.9629629629629629,0.7990416332527444
B,R3,35,35,0.942857142857143,0.8387261458805629
B,R4,28,28,0.9285714285714286,0.9074900576046535
B,R5,28,28,0.7857142857142857,0.8554532442774091
C,L5,19,19,0.9473684210526316,0.8882527853313246
C,L4,21,21,1.0,0.7398686522529239
C,L3,32,32,1.0,0.6989908218383789
C,L2,35,35,1.0,0.6821024826594762
C,L1,24,24,1.0,0.958061029513677
C,R1,28,28,1.0,0.771886374269213
C,R2,35,35,0.9714285714285714,0.6374915327344622
C,R3,27,27,1.0,0.7080549840573911
C,R4,32,32,1.0,0.7339703887701035
C,R5,17,17,0.9411764705882354,0.8415675443761489
