condition,n_events,median_ms,mean_ms,sd_ms,min_ms,p95_ms,max_ms
A,270,489.15553092956543,550.0170628229777,305.614060609819,346.01402282714844,858.3514928817746,3891.564130783081
B,258,837.3434543609619,885.591330454331,230.17000807101374,554.1989803314209,1225.3444075584412,3241.50013923645
C,268,697.6560354232788,750.5283231165872,270.8497547502174,347.57399559020996,1193.0491566658015,3546.354055404663
