participant,condition,theta,fa,n_trials,n_events,source
P19,B,0.3,0.8444444444444444,9,270,automatic_target_probability
P19,B,0.35,0.837037037037037,9,270,automatic_target_probability
P19,B,0.4,0.8296296296296295,9,270,automatic_target_probability
P19,B,0.45,0.8222222222222222,9,270,automatic_target_probability
P19,B,0.5,0.8185185185185184,9,270,automatic_target_probability
P19,C,0.3,0.9481481481481482,9,270,automatic_target_probability
P19,C,0.35,0.9407407407407408,9,270,automatic_target_probability
P19,C,0.4,0.9333333333333333,9,270,automatic_target_probability
P19,C,0.45,0.9185185185185186,9,270,automatic_target_probability
P19,C,0.5,0.8851851851851852,9,270,automatic_target_probability
