participant,condition,finger_id,n,n_left,n_right,n_judged,fa,rt_s,n_rt_complete,rt_complete_s
P19,A,1,41,18,23,41,0.0,0.5237470080212849,0,
P19,A,2,66,36,30,66,0.24242424242424243,0.5987100890188506,16,0.7686358392238617
P19,A,3,61,31,30,61,0.3770491803278688,0.5200926983942751,23,0.49445328505142877
P19,A,4,53,31,22,53,0.1320754716981132,0.5316732649533253,7,0.5739618369511196
P19,A,5,49,23,26,49,0.0,0.5635056349695945,0,
P19,B,1,33,20,13,33,0.9393939393939394,0.9321971228628447,31,0.9228514855907809
P19,B,2,58,31,27,58,0.896551724137931,0.8894775201534403,52,0.8872700929641724
P19,B,3,64,29,35,64,0.953125,0.8280432000756264,61,0.8338740497338967
P19,B,4,58,30,28,58,0.9137931034482759,0.9057951754537122,53,0.9138622643812647
P19,B,5,57,29,28,57,0.8070175438596491,0.90699821606017,46,0.8975351841553397
P19,C,1,52,24,28,52,1.0,0.8578131382281964,52,0.8578131382281964
P19,C,2,70,35,35,70,0.9857142857142858,0.6597970076969691,69,0.6617082512896993
P19,C,3,59,32,27,59,1.0,0.7031388282775879,59,0.7031388282775879
P19,C,4,53,21,32,53,1.0,0.7363074365651833,53,0.7363074365651833
P19,C,5,36,19,17,36,0.9444444444444444,0.8662069771024916,34,0.8677228268455056
