condition,target_finger,n,n_judged,fa,rt_s
A,L5,20,20,0.0,0.509558629989624
A,L4,29,29,0.034482758620689655,0.442660142635477
A,L3,29,29,0.27586206896551724,0.4007979836957208
A,L2,37,37,0.1081081081081081,0.5820169706602354
A,L1,24,24,0.0,0.41470373670260113
A,R1,20,20,0.05,0.4762080430984497
A,R2,31,31,0.8064516129032258,0.6169584566547026
A,R3,28,28,0.21428571428571427,0.405420116015843
A,R4,29,29,0.0,0.4334538722860402
A,R5,23,23,0.043478260869565216,0.49923838739809784
B,L5,18,18,0.9444444444444444,1.3517019616232977
B,L4,23,23,1.0,1.210641860961914
B,L3,29,29,1.0,1.1555796656115302
B,L2,38,38,1.0,0.8509205956208078
B,L1,23,23,0.9565217391304348,1.2627027034759521
B,R1,29,29,1.0,1.0990918915847252
B,R2,35,35,0.942857142857143,0.9285626820155553
B,R3,30,30,0.8666666666666667,1.0084947188695272
B,R4,28,28,0.9642857142857143,1.1034526058605738
B,R5,17,17,0.823529411764706,1.1154948402853573
C,L5,33,33,1.0,0.8578523867058031
C,L4,30,30,1.0,0.9271057923634847
C,L3,34,34,1.0,0.7776727395899156
C,L2,27,27,1.0,0.6394181251525879
C,L1,15,15,1.0,0.7821038405100504
C,R1,15,15,1.0,0.6225046475728353
C,R2,26,26,1.0,0.6136188873877892
C,R3,34,34,1.0,0.8061356474371517
C,R4,25,25,1.0,0.933582935333252
C,R5,31,31,1.0,0.8130627755195864
