condition,target_finger,actual_finger,count
A,L1,L2,4
A,L1,L3,9
A,L1,L4,1
A,L1,R2,10
A,L2,L2,4
A,L2,L3,10
A,L2,L4,4
A,L2,R2,17
A,L2,R3,1
A,L2,R4,1
A,L3,L2,3
A,L3,L3,8
A,L3,L4,1
A,L3,R2,17
A,L4,L2,3
A,L4,L3,11
A,L4,R1,1
A,L4,R2,13
A,L4,R3,1
A,L5,L2,2
A,L5,L3,6
A,L5,R2,12
A,R1,R1,1
A,R1,R2,18
A,R1,R3,1
A,R2,L3,3
A,R2,R2,26
A,R2,R3,1
A,R2,R4,1
A,R3,L2,1
A,R3,R2,21
A,R3,R3,6
A,R4,R1,3
A,R4,R2,23
A,R4,R3,3
A,R5,R2,21
A,R5,R3,1
A,R5,R5,1
B,L1,L1,21
B,L1,L2,1
B,L1,R1,1
B,L2,L2,38
B,L3,L3,29
B,L4,L4,23
B,L5,L4,1
B,L5,L5,17
B,R1,R1,29
B,R2,L4,1
B,R2,R2,33
B,R2,R3,1
B,R3,L3,3
B,R3,R3,26
B,R3,R4,1
B,R4,R2,1
B,R4,R4,27
B,R5,R4,3
B,R5,R5,14
C,L1,L1,15
C,L2,L2,27
C,L3,L3,34
C,L4,L4,30
C,L5,L5,33
C,R1,R1,15
C,R2,R2,26
C,R3,R3,34
C,R4,R3,1
C,R4,R4,24
C,R5,R5,31
