participant,condition,theta,fa,n_trials,n_events,source
P06,B,0.3,0.9592592592592593,9,270,automatic_target_probability
P06,B,0.35,0.9555555555555555,9,270,automatic_target_probability
P06,B,0.4,0.9555555555555555,9,270,automatic_target_probability
P06,B,0.45,0.9518518518518518,9,270,automatic_target_probability
P06,B,0.5,0.9481481481481482,9,270,automatic_target_probability
P06,C,0.3,1.0,9,270,automatic_target_probability
P06,C,0.35,1.0,9,270,automatic_target_probability
P06,C,0.4,0.9962962962962963,9,270,automatic_target_probability
P06,C,0.45,0.9925925925925926,9,270,automatic_target_probability
P06,C,0.5,0.9851851851851853,9,270,automatic_target_probability
