participant,condition,trial_index,event_index,distance,metric
P03,A,3,8,1,key-index
P03,A,3,29,1,key-index
P03,A,4,21,1,key-index
P03,C,5,3,1,key-index
P03,B,6,17,1,key-index
P03,A,8,10,1,key-index
P03,C,12,11,1,key-index
P03,B,21,27,1,key-index
P03,A,24,6,1,key-index
