condition,n_events,median_ms,mean_ms,sd_ms,min_ms,p95_ms,max_ms
A,269,428.1778335571289,472.9026755435759,195.5148593093797,250.63085556030273,830.5958271026609,1698.5869407653809
B,268,838.5601043701172,882.2940819299043,226.19924728424058,524.5349407196045,1282.419753074646,2105.055093765259
C,270,605.583906173706,658.6251550250583,202.04365749750795,328.30190658569336,1019.8120474815369,1504.3177604675293
