participant,finger_id,x,y,estimator
P13,1,0.8773607857087079,0.15085863421945012,naive
P13,2,0.8576403141021729,0.2861265545460716,naive
P13,3,0.8007982261478901,0.2233605946023618,naive
P13,4,0.9318470827170781,0.2819133024840128,naive
P13,5,0.9908230353374871,0.15263294524886983,naive
P13,1,0.8019314685989829,0.15085863421945012,oldham
P13,2,0.7145770368291371,0.2861265545460716,oldham
P13,3,0.6891179288467092,0.2233605946023618,oldham
P13,4,0.7908904314750717,0.2819133024840128,oldham
P13,5,0.9145065627130522,0.15263294524886983,oldham
P13,1,0.8750889566209581,0.15341444194316867,split_half
P13,2,0.8402079452167858,0.31996585885299944,split_half
P13,3,0.8132074208095156,0.21307869045415784,split_half
P13,4,0.9551395908478768,0.25303059240182246,split_half
P13,5,0.9750275441578456,0.17369360015505841,split_half
