participant,condition,theta,fa,n_trials,n_events,source
P13,B,0.3,0.9370370370370371,9,270,automatic_target_probability
P13,B,0.35,0.914814814814815,9,270,automatic_target_probability
P13,B,0.4,0.8888888888888891,9,270,automatic_target_probability
P13,B,0.45,0.8407407407407407,9,270,automatic_target_probability
P13,B,0.5,0.725925925925926,9,270,automatic_target_probability
P13,C,0.3,0.9888888888888889,9,270,automatic_target_probability
P13,C,0.35,0.9666666666666668,9,270,automatic_target_probability
P13,C,0.4,0.9333333333333333,9,270,automatic_target_probability
P13,C,0.45,0.8777777777777778,9,270,automatic_target_probability
P13,C,0.5,0.7592592592592593,9,270,automatic_target_probability
