condition,target_finger,actual_finger,count
A,L1,L2,3
A,L1,L3,4
A,L1,L4,2
A,L1,R2,6
A,L1,R3,4
A,L1,R4,1
A,L2,L2,8
A,L2,L3,7
A,L2,L4,3
A,L2,R1,4
A,L2,R2,13
A,L2,R3,5
A,L2,R4,2
A,L3,L1,1
A,L3,L2,3
A,L3,L3,5
A,L3,L4,6
A,L3,R1,2
A,L3,R2,10
A,L3,R3,4
A,L3,R4,1
A,L4,L2,7
A,L4,L3,6
A,L4,L4,3
A,L4,R2,7
A,L4,R3,2
A,L4,R4,2
A,L5,L2,3
A,L5,L3,6
A,L5,L4,3
A,L5,R2,3
A,L5,R3,1
A,R1,L3,1
A,R1,R1,4
A,R1,R2,12
A,R1,R3,2
A,R1,R4,2
A,R2,L2,1
A,R2,R1,2
A,R2,R2,22
A,R2,R3,5
A,R2,R4,2
A,R3,L2,1
A,R3,L3,3
A,R3,R2,10
A,R3,R3,4
A,R3,R4,4
A,R4,L2,2
A,R4,L3,2
A,R4,R1,3
A,R4,R2,14
A,R4,R3,6
A,R4,R4,1
A,R5,L2,2
A,R5,R1,3
A,R5,R2,21
A,R5,R3,3
A,R5,R4,1
B,L1,L1,18
B,L2,L2,29
B,L2,R2,2
B,L3,L2,1
B,L3,L3,31
B,L3,R3,2
B,L4,L3,1
B,L4,L4,29
B,L5,L4,1
B,L5,L5,26
B,L5,R1,1
B,R1,R1,16
B,R2,R2,22
B,R3,R2,16
B,R3,R3,17
B,R3,R4,1
B,R4,R2,3
B,R4,R3,2
B,R4,R4,26
B,R5,R3,2
B,R5,R4,1
B,R5,R5,23
C,L1,L1,24
C,L2,L2,29
C,L3,L3,26
C,L4,L4,25
C,L5,L5,27
C,R1,R1,26
C,R1,R2,1
C,R2,R2,38
C,R3,R2,17
C,R3,R3,19
C,R4,R3,2
C,R4,R4,21
C,R5,R4,1
C,R5,R5,14
