condition,target_finger,n,n_judged,fa,rt_s
A,L5,16,16,0.0,0.5121637880802155
A,L4,27,27,0.1111111111111111,0.5021985195301197
A,L3,32,32,0.21875,0.5571204274892807
A,L2,42,42,0.21428571428571427,0.46276888960883733
A,L1,20,20,0.0,0.44130808115005493
A,R1,21,21,0.19047619047619047,0.42484071141197566
A,R2,32,32,0.71875,0.4354703351855278
A,R3,22,22,0.5,0.45108879696239124
A,R4,28,28,0.07142857142857144,0.4558817914554051
A,R5,30,30,0.0,0.47315406799316406
B,L5,28,28,0.8928571428571429,0.9781966294561114
B,L4,30,30,0.9666666666666667,0.9629394849141438
B,L3,34,34,0.9411764705882354,0.838834145489861
B,L2,31,31,0.903225806451613,0.9025090740573022
B,L1,18,18,1.0,0.9677797423468696
B,R1,16,16,1.0,0.7756394594907761
B,R2,22,22,1.0,0.79466543414376
B,R3,34,34,0.9411764705882354,0.7574921776266659
B,R4,31,31,0.8709677419354839,0.8840685198383946
B,R5,26,26,0.923076923076923,0.9646462385471051
C,L5,27,27,1.0,0.8559816236849185
C,L4,25,25,1.0,0.6854094982147216
C,L3,26,26,1.0,0.6456866264343262
C,L2,29,29,1.0,0.6103307789769666
C,L1,24,24,0.9583333333333333,0.8649188180764517
C,R1,27,27,1.0,0.6139770348866781
C,R2,38,38,1.0,0.5418902447349147
C,R3,36,36,1.0,0.5281466907925076
C,R4,23,23,1.0,0.6113732172095258
C,R5,15,15,1.0,0.8061653296152751
