condition,target_finger,n,n_judged,fa,rt_s
A,L5,30,30,0.0,0.4442823807398478
A,L4,30,30,0.16666666666666669,0.45311020215352377
A,L3,28,28,0.35714285714285715,0.47204149620873587
A,L2,36,36,0.19444444444444442,0.5285263723797269
A,L1,17,17,0.0,0.5288446230046889
A,R1,16,16,0.0,0.4434366524219513
A,R2,32,32,0.78125,0.4226805493235588
A,R3,31,31,0.03225806451612903,0.4018802950459142
A,R4,26,26,0.0,0.468960165977478
A,R5,24,24,0.0,0.4470777014891307
B,L5,25,25,0.96,1.0157186222076415
B,L4,23,23,1.0,1.1176624816396963
B,L3,35,35,0.942857142857143,0.9718780721936907
B,L2,31,31,0.9354838709677419,0.9198047730230516
B,L1,21,21,1.0,0.9951881681169782
B,R1,26,26,1.0,0.7939674028983483
B,R2,26,26,1.0,0.915336535527156
B,R3,34,34,0.9411764705882354,0.9072839722913855
B,R4,26,26,1.0,0.9154824660374568
B,R5,23,23,0.9565217391304348,0.9833779853323231
C,L5,16,16,1.0,0.7750399112701416
C,L4,29,29,1.0,0.754895202044783
C,L3,29,29,0.9655172413793103,0.6361626263322502
C,L2,35,35,0.9714285714285714,0.5395198753901891
C,L1,24,24,1.0,0.7095364630222321
C,R1,22,22,1.0,0.48558293689380994
C,R2,34,34,1.0,0.49529217271243825
C,R3,27,27,0.9629629629629629,0.6355676209485089
C,R4,30,30,0.9666666666666667,0.7125383933385213
C,R5,24,24,1.0,0.7513813475767771
