participant,condition,finger_id,n,n_left,n_right,n_judged,fa,rt_s,n_rt_complete,rt_complete_s
P18,A,1,33,17,16,33,0.0,0.4874346978736646,0,
P18,A,2,68,36,32,68,0.47058823529411764,0.4787165732944713,32,0.434686079621315
P18,A,3,59,28,31,59,0.1864406779661017,0.43517713627572785,11,0.4387060078707608
P18,A,4,56,30,26,56,0.08928571428571429,0.4604691139289311,5,0.46992053985595705
P18,A,5,54,30,24,54,0.0,0.44552474551730686,0,
P18,B,1,47,21,26,47,1.0,0.8838745533151829,47,0.8838745533151829
P18,B,2,57,31,26,57,0.9649122807017544,0.9177666296038711,55,0.9067024924538353
P18,B,3,69,35,34,69,0.9420289855072463,0.940049095430236,65,0.9289286246666542
P18,B,4,49,23,26,49,1.0,1.0103832896874876,49,1.0103832896874876
P18,B,5,48,25,23,48,0.9583333333333334,1.0002220670382183,46,0.9991027842397275
P18,C,1,46,24,22,46,1.0,0.6024282548738562,46,0.6024282548738562
P18,C,2,69,35,34,69,0.9855072463768116,0.5177265146504277,68,0.5175331585547503
P18,C,3,56,29,27,56,0.9642857142857143,0.6358757487365178,54,0.6372026646578753
P18,C,4,59,29,30,59,0.9830508474576272,0.7333578416856669,58,0.7339081147621418
P18,C,5,40,16,24,40,1.0,0.7608447730541229,40,0.7608447730541229
