participant,condition,level,repetition,fa_main,rt_correct_key_s,rt_complete_s
P18,A,alpha,1,0.1,0.43591929276784264,0.39016040166219074
P18,A,alpha,2,0.16666666666666666,0.4485383272171021,0.33114261627197267
P18,A,alpha,3,0.23333333333333334,0.38336468594414846,0.3263054234640939
P18,A,beta,1,0.26666666666666666,0.49942155679066974,0.5446676909923553
P18,A,beta,2,0.16666666666666666,0.4127425909042358,0.5621260166168213
P18,A,beta,3,0.2,0.47389556566874186,0.5897371371587118
P18,A,gamma,1,0.13333333333333333,0.4883893111656452,0.38994598388671875
P18,A,gamma,2,0.16666666666666666,0.5332496421677726,0.3792513370513916
P18,A,gamma,3,0.16666666666666666,0.4787624279658,0.36251120567321776
P18,B,alpha,1,0.9666666666666667,0.8774809837341309,0.8686353584815716
P18,B,alpha,2,1.0,1.0545472939809164,1.0545472939809164
P18,B,alpha,3,0.9333333333333333,0.890771730740865,0.8609066094670977
P18,B,beta,1,1.0,1.0089088280995686,1.0089088280995686
P18,B,beta,2,0.9666666666666667,1.007135558128357,1.0078010230228818
P18,B,beta,3,1.0,0.9125245094299317,0.9125245094299317
P18,B,gamma,1,0.9666666666666667,1.067551056543986,1.0744447872556488
P18,B,gamma,2,0.9,0.8761772040663094,0.8650817694487395
P18,B,gamma,3,1.0,0.8313681761423747,0.8313681761423747
P18,C,alpha,1,1.0,0.6975366195042928,0.6975366195042928
P18,C,alpha,2,1.0,0.5357353448867798,0.5357353448867798
P18,C,alpha,3,0.9666666666666667,0.578946050008138,0.5707367042015339
P18,C,beta,1,0.9666666666666667,0.5962004741032918,0.6035494228889202
P18,C,beta,2,0.9666666666666667,0.6143573974740917,0.6143573974740917
P18,C,beta,3,1.0,0.6205663919448853,0.6205663919448853
P18,C,gamma,1,1.0,0.7189581314722697,0.7189581314722697
P18,C,gamma,2,1.0,0.6743103424708049,0.6743103424708049
P18,C,gamma,3,0.9666666666666667,0.7186789194742839,0.7251549260369663
