participant,condition,trial_index,event_index,distance,metric
P18,A,12,10,1,key-index
P18,C,15,11,1,key-index
P18,B,18,16,1,key-index
P18,A,19,11,1,key-index
P18,A,19,13,1,key-index
P18,A,27,5,1,key-index
P18,A,27,6,1,key-index
