condition,target_finger,actual_finger,count
A,L1,L2,6
A,L1,L3,2
A,L1,L4,2
A,L1,R1,2
A,L1,R2,5
A,L2,L2,7
A,L2,L3,9
A,L2,L4,12
A,L2,L5,1
A,L2,R1,1
A,L2,R2,6
A,L3,L2,8
A,L3,L3,10
A,L3,L4,4
A,L3,R2,5
A,L3,R3,1
A,L4,L2,11
A,L4,L3,8
A,L4,L4,5
A,L4,R1,1
A,L4,R2,5
A,L5,L2,9
A,L5,L3,9
A,L5,L4,4
A,L5,R2,8
A,R1,L2,1
A,R1,L3,1
A,R1,R2,14
A,R2,L3,3
A,R2,R1,2
A,R2,R2,26
A,R2,R3,1
A,R3,L2,1
A,R3,R1,3
A,R3,R2,25
A,R3,R3,1
A,R3,R4,1
A,R4,L2,1
A,R4,L3,4
A,R4,R1,1
A,R4,R2,19
A,R4,R5,1
A,R5,L3,2
A,R5,L5,1
A,R5,R1,4
A,R5,R2,16
A,R5,R3,1
B,L1,L1,21
B,L2,L2,29
B,L2,R2,2
B,L3,L3,33
B,L3,L4,1
B,L3,R3,1
B,L4,L3,1
B,L4,L4,22
B,L5,L4,1
B,L5,L5,24
B,R1,R1,26
B,R2,R2,26
B,R3,R3,33
B,R3,R4,1
B,R4,R4,26
B,R5,R4,1
B,R5,R5,22
C,L1,L1,24
C,L2,L2,33
C,L2,L3,1
C,L2,L5,1
C,L3,L2,1
C,L3,L3,28
C,L4,L4,29
C,L5,L5,16
C,R1,R1,22
C,R2,R2,34
C,R3,L3,1
C,R3,R2,2
C,R3,R3,24
C,R4,R3,2
C,R4,R4,28
C,R5,R5,24
