participant,finger_id,x,y,estimator
P18,1,0.8838745533151829,0.28144629844132674,naive
P18,2,0.9067024924538353,0.3891693338990849,naive
P18,3,0.9289286246666542,0.2917259600087788,naive
P18,4,1.0103832896874876,0.2764751749253458,naive
P18,5,0.9991027842397275,0.23825801118560463,naive
P18,1,0.7431514040945195,0.28144629844132674,oldham
P18,2,0.7121178255042928,0.3891693338990849,oldham
P18,3,0.7830656446622648,0.2917259600087788,oldham
P18,4,0.8721457022248147,0.2764751749253458,oldham
P18,5,0.8799737786469253,0.23825801118560463,oldham
P18,1,0.8775290171305339,0.2926443034730605,split_half
P18,2,0.86133740345637,0.47512423936796633,split_half
P18,3,0.920251109383323,0.3006746476447141,split_half
P18,4,0.9763858604431153,0.31188916372156683,split_half
P18,5,0.9938201336633592,0.242695437669754,split_half
