participant,condition,theta,fa,n_trials,n_events,source
P18,B,0.3,0.9740740740740742,9,270,automatic_target_probability
P18,B,0.35,0.9703703703703704,9,270,automatic_target_probability
P18,B,0.4,0.9666666666666668,9,270,automatic_target_probability
P18,B,0.45,0.9592592592592593,9,270,automatic_target_probability
P18,B,0.5,0.9518518518518518,9,270,automatic_target_probability
P18,C,0.3,0.9666666666666668,9,270,automatic_target_probability
P18,C,0.35,0.9629629629629631,9,270,automatic_target_probability
P18,C,0.4,0.9518518518518518,9,270,automatic_target_probability
P18,C,0.45,0.9444444444444444,9,270,automatic_target_probability
P18,C,0.5,0.9111111111111112,9,270,automatic_target_probability
