participant,condition,finger_id,n,n_left,n_right,n_judged,fa,rt_s,n_rt_complete,rt_complete_s
P16,A,1,44,23,21,44,0.022727272727272728,0.475787796757438,1,1.4177169799804688
P16,A,2,71,36,35,71,0.22535211267605634,0.4700875483768087,16,0.4457000344991684
P16,A,3,63,33,30,63,0.30158730158730157,0.5415223515222943,19,0.476310228046618
P16,A,4,47,19,28,47,0.19148936170212766,0.4863912602688404,9,0.5396123197343614
P16,A,5,45,20,25,45,0.17777777777777778,0.5183840327792697,8,0.6101774275302887
P16,B,1,51,26,25,51,0.9803921568627451,1.0097218167548085,50,1.0132586336135865
P16,B,2,63,36,27,63,0.9206349206349206,0.9035402668846978,58,0.9117087207991501
P16,B,3,59,27,32,59,0.9322033898305084,0.936285576577914,55,0.9408806757493453
P16,B,4,55,27,28,55,0.9818181818181818,1.10354923768477,54,1.1046107433460377
P16,B,5,42,21,21,42,0.9523809523809523,1.0251824912570773,40,1.0306885898113252
P16,C,1,31,13,18,31,1.0,0.9715719146113242,31,0.9715719146113242
P16,C,2,60,30,30,60,1.0,0.6772370298703512,60,0.6772370298703512
P16,C,3,62,32,30,62,1.0,0.7483056014583956,62,0.7483056014583956
P16,C,4,62,36,26,62,0.967741935483871,0.8241162146291425,60,0.8199156641960144
P16,C,5,55,30,25,55,1.0,0.9713362997228449,55,0.9713362997228449
