participant,position,condition,level,fa_main_raw,fa_main_adjusted,rt_correct_key_s_raw,rt_correct_key_s_adjusted
P16,1,C,beta,1.0,0.9833333333333333,1.1409130493799846,1.1614068289217214
P16,3,C,gamma,0.9666666666666667,0.95,0.9263109914187727,0.9844982502865455
P16,5,B,gamma,0.9,0.9277777777777777,1.081916300455729,0.9355180836576458
P16,7,C,beta,0.9666666666666667,0.95,0.8598894826297102,0.8803832621714469
P16,11,C,alpha,1.0,0.9722222222222222,0.7454773664474488,0.9215743055136573
P16,12,C,gamma,1.0,0.9833333333333333,0.7833853880564372,0.84157264692421
P16,13,B,alpha,0.9666666666666667,0.9944444444444444,0.9720427751541137,0.9004994965452191
P16,14,C,alpha,1.0,0.9722222222222222,0.7119528373082479,0.8880497763744564
P16,15,B,alpha,0.8666666666666667,0.8944444444444444,0.9865571101506551,0.9150138315417604
P16,16,B,beta,0.9666666666666667,0.9722222222222222,0.9778568903605144,0.9410204082917741
P16,17,C,alpha,1.0,0.9722222222222222,0.7307517925898234,0.9068487316560319
P16,18,C,gamma,1.0,0.9833333333333333,0.8322146574656168,0.8904019163333896
P16,19,B,gamma,0.9666666666666667,0.9944444444444444,1.04999844233195,0.9036002255338667
P16,20,B,beta,0.9333333333333333,0.9388888888888889,0.9395636399586995,0.9027271578899593
P16,21,B,gamma,0.9666666666666667,0.9944444444444444,1.0237527211507162,0.877354504352633
P16,24,B,alpha,1.0,1.0277777777777777,0.9725027640660604,0.9009594854571658
P16,25,C,beta,1.0,0.9833333333333333,0.6541889429092407,0.6746827224509774
P16,26,B,beta,1.0,1.0055555555555555,0.9095617294311523,0.8727252473624121
