condition,n_events,median_ms,mean_ms,sd_ms,min_ms,p95_ms,max_ms
A,266,444.72479820251465,500.52390510874585,247.65927187126354,256.53815269470215,792.9209470748901,2850.8851528167725
B,270,954.2293548583984,990.4169303399545,246.62127356351908,544.896125793457,1493.9654946327207,2007.477045059204
C,268,758.8493824005127,820.0236372093656,294.98262540142446,419.78001594543457,1297.6883411407468,2737.222909927368
