participant,condition,trial_index,level,sequence,rt_ms,fa_pct,included
P16,C,1,beta,1799551287-β-4,1140.9130493799846,100.0,True
P16,A,2,beta,1799551287-β-1,467.53517512617435,6.666666666666667,True
P16,C,3,gamma,1799551287-γ-5,926.3109914187727,96.66666666666667,True
P16,A,4,gamma,1799551287-γ-6,588.5058720906575,36.666666666666664,True
P16,B,5,gamma,1799551287-γ-8,1081.916300455729,90.0,True
P16,A,6,alpha,1799551287-α-3,551.7574310302734,16.666666666666664,True
P16,C,7,beta,1799551287-β-3,859.8894826297102,96.66666666666667,True
P16,A,8,gamma,1799551287-γ-7,628.9040631261365,13.333333333333334,True
P16,A,9,beta,1799551287-β-6,413.8105080045503,13.333333333333334,True
P16,A,10,alpha,1799551287-α-6,468.86853514046504,23.333333333333332,True
P16,C,11,alpha,1799551287-α-5,745.4773664474487,100.0,True
P16,C,12,gamma,1799551287-γ-4,783.3853880564373,100.0,True
P16,B,13,alpha,1799551287-α-8,972.0427751541138,96.66666666666667,True
P16,C,14,alpha,1799551287-α-1,711.9528373082479,100.0,True
P16,B,15,alpha,1799551287-α-2,986.557110150655,86.66666666666667,True
P16,B,16,beta,1799551287-β-9,977.8568903605144,96.66666666666667,True
P16,C,17,alpha,1799551287-α-4,730.7517925898234,100.0,True
P16,C,18,gamma,1799551287-γ-1,832.2146574656168,100.0,True
P16,B,19,gamma,1799551287-γ-9,1049.99844233195,96.66666666666667,True
P16,B,20,beta,1799551287-β-2,939.5636399586995,93.33333333333333,True
P16,B,21,gamma,1799551287-γ-2,1023.7527211507163,96.66666666666667,True
P16,A,22,alpha,1799551287-α-7,442.11504459381104,20.0,True
P16,A,23,gamma,1799551287-γ-3,524.2098013559977,20.0,True
P16,B,24,alpha,1799551287-α-9,972.5027640660604,100.0,True
P16,C,25,beta,1799551287-β-8,654.1889429092407,100.0,True
P16,B,26,beta,1799551287-β-7,909.5617294311523,100.0,True
P16,A,27,beta,1799551287-β-5,418.24280420939124,26.666666666666668,True
