condition,target_finger,actual_finger,count
A,L1,L1,1
A,L1,L2,6
A,L1,L3,4
A,L1,L5,2
A,L1,R2,7
A,L1,R3,3
A,L2,L2,10
A,L2,L3,2
A,L2,L4,3
A,L2,L5,1
A,L2,R1,1
A,L2,R2,7
A,L2,R3,12
A,L3,L2,7
A,L3,L3,8
A,L3,L4,1
A,L3,R2,10
A,L3,R3,7
A,L4,L2,10
A,L4,L4,1
A,L4,R2,4
A,L4,R3,4
A,L5,L2,6
A,L5,L3,4
A,L5,L4,2
A,L5,L5,1
A,L5,R2,4
A,L5,R3,3
A,R1,R2,2
A,R1,R3,10
A,R1,R4,8
A,R1,R5,1
A,R2,R2,7
A,R2,R3,14
A,R2,R4,11
A,R2,R5,3
A,R3,L2,2
A,R3,L3,1
A,R3,R2,6
A,R3,R3,10
A,R3,R4,9
A,R3,R5,2
A,R4,L2,1
A,R4,R1,1
A,R4,R2,6
A,R4,R3,10
A,R4,R4,8
A,R4,R5,2
A,R5,R2,5
A,R5,R3,6
A,R5,R4,7
A,R5,R5,7
B,L1,L1,21
B,L1,L2,4
B,L1,R1,1
B,L2,L2,33
B,L2,L5,1
B,L2,R2,2
B,L3,L3,23
B,L3,R3,4
B,L4,L4,27
B,L5,L4,3
B,L5,L5,18
B,R1,R1,18
B,R1,R2,7
B,R2,L4,1
B,R2,R2,25
B,R2,R4,1
B,R3,R3,32
B,R4,R4,27
B,R4,R5,1
B,R5,R4,1
B,R5,R5,20
C,L1,L1,10
C,L1,L2,3
C,L2,L2,30
C,L3,L3,32
C,L4,L4,36
C,L5,L4,2
C,L5,L5,28
C,R1,R1,16
C,R1,R2,2
C,R2,R2,30
C,R3,R3,30
C,R4,R4,26
C,R5,R5,25
