condition,target_finger,n,n_judged,fa,rt_s
A,L5,20,20,0.05,0.5274662256240845
A,L4,19,19,0.052631578947368425,0.48012240309464305
A,L3,33,33,0.2121212121212121,0.5356079592849269
A,L2,36,36,0.25,0.47103293074501884
A,L1,23,23,0.043478260869565216,0.49903626027314557
A,R1,21,21,0.0,0.450325193859282
A,R2,35,35,0.2,0.46911515508379253
A,R3,30,30,0.4,0.5480281829833984
A,R4,28,28,0.28571428571428575,0.4906451276370457
A,R5,25,25,0.28,0.511118278503418
B,L5,21,21,0.9523809523809524,1.0900683403015137
B,L4,27,27,1.0,1.130326509475708
B,L3,27,27,0.8518518518518519,1.0150849995789704
B,L2,36,36,0.9166666666666667,0.8786326315667894
B,L1,26,26,0.9615384615384616,1.0742131655032818
B,R1,25,25,1.0,0.9426508140563965
B,R2,27,27,0.9259259259259259,0.9367504473085757
B,R3,32,32,1.0,0.8697985634207726
B,R4,28,28,0.9642857142857143,1.0777282970292228
B,R5,21,21,0.9523809523809524,0.9602966422126407
C,L5,30,30,1.0,1.0735533873240153
C,L4,36,36,0.9722222222222223,0.8732217616505094
C,L3,32,32,1.0,0.7404219806194305
C,L2,30,30,1.0,0.6822849829991658
C,L1,13,13,1.0,1.0903848317953257
C,R1,18,18,1.0,0.8857625855339898
C,R2,30,30,1.0,0.6721890767415365
C,R3,30,30,1.0,0.7567147970199585
C,R4,26,26,0.9615384615384616,0.7561239187534039
C,R5,25,25,1.0,0.8486757946014404
