participant,condition,trial_index,event_index,distance,metric
P16,A,2,21,1,key-index
P16,C,3,20,1,key-index
P16,C,7,3,1,key-index
P16,A,8,16,1,key-index
P16,A,9,27,1,key-index
P16,A,10,8,1,key-index
