participant,finger_id,x,y,estimator
P20,1,0.8871855040391287,0.10623006102366328,naive
P20,2,0.9232204502279108,0.27094849402254273,naive
P20,3,1.1436409567083632,0.4529086895405301,naive
P20,4,1.0712246851487592,0.36742753384629,naive
P20,5,0.9370910048484802,0.07115270467031565,naive
P20,1,0.834070473527297,0.10623006102366328,oldham
P20,2,0.7877462032166394,0.27094849402254273,oldham
P20,3,0.9171866119380981,0.4529086895405301,oldham
P20,4,0.8875109182256142,0.36742753384629,oldham
P20,5,0.9015146525133224,0.07115270467031565,oldham
P20,1,0.8870202944828913,0.1064253086810345,split_half
P20,2,0.8774900266102382,0.35097673535346985,split_half
P20,3,1.1388856287925475,0.4588052961561415,split_half
P20,4,1.021098860378923,0.42333710762803056,split_half
P20,5,0.9981246555552763,0.026040875887031634,split_half
