condition,target_finger,actual_finger,count
A,L1,L2,7
A,L1,L3,3
A,L1,L4,2
A,L1,R2,4
A,L2,L2,12
A,L2,L3,5
A,L2,L4,2
A,L2,L5,4
A,L2,R2,9
A,L3,L2,14
A,L3,L3,1
A,L3,L4,5
A,L3,L5,3
A,L3,R2,4
A,L4,L2,4
A,L4,L3,11
A,L4,L4,6
A,L4,L5,2
A,L4,R2,4
A,L5,L2,9
A,L5,L3,8
A,L5,L4,9
A,L5,L5,3
A,L5,R2,2
A,R1,L2,1
A,R1,R2,7
A,R1,R3,11
A,R1,R4,2
A,R1,R5,1
A,R2,L2,2
A,R2,R2,9
A,R2,R3,6
A,R2,R4,11
A,R2,R5,1
A,R3,L2,3
A,R3,R2,13
A,R3,R3,13
A,R3,R4,4
A,R3,R5,2
A,R4,L2,3
A,R4,L3,1
A,R4,R2,6
A,R4,R3,7
A,R4,R4,4
A,R4,R5,2
A,R5,L2,3
A,R5,L3,1
A,R5,R2,9
A,R5,R3,5
A,R5,R4,5
A,R5,R5,5
B,L1,L1,30
B,L2,L2,34
B,L3,L2,2
B,L3,L3,27
B,L4,L4,21
B,L5,L5,17
B,R1,R1,18
B,R2,R2,33
B,R3,R2,2
B,R3,R3,28
B,R4,R2,1
B,R4,R3,2
B,R4,R4,32
B,R5,R5,23
C,L1,L1,16
C,L2,L2,36
C,L3,L3,36
C,L4,L3,1
C,L4,L4,33
C,L5,L4,2
C,L5,L5,21
C,R1,R1,23
C,R1,R2,1
C,R2,R2,28
C,R2,R3,1
C,R2,R4,1
C,R3,R2,4
C,R3,R3,23
C,R4,R3,5
C,R4,R4,19
C,R5,R4,2
C,R5,R5,18
