participant,condition,trial_index,level,sequence,rt_ms,fa_pct,included
P20,C,1,beta,1799551287-β-7,841.1523342132568,93.33333333333333,True
P20,A,2,alpha,1799551287-α-4,386.3568305969238,26.666666666666668,True
P20,A,3,alpha,1799551287-α-7,458.6491664250692,26.666666666666668,True
P20,B,4,beta,1799551287-β-6,1120.8056170364907,86.66666666666667,True
P20,C,5,alpha,1799551287-α-5,779.0069580078125,100.0,True
P20,C,6,gamma,1799551287-γ-5,804.0713946024576,100.0,True
P20,B,7,beta,1799551287-β-9,1092.6911354064941,100.0,True
P20,A,8,gamma,1799551287-γ-8,607.9571882883707,26.666666666666668,True
P20,B,9,gamma,1799551287-γ-7,1138.4904464085896,96.66666666666667,True
P20,C,10,gamma,1799551287-γ-1,784.0581893920898,100.0,True
P20,A,11,gamma,1799551287-γ-2,523.6754735310873,16.666666666666664,True
P20,C,12,beta,1799551287-β-5,729.740826288859,100.0,True
P20,B,13,beta,1799551287-β-1,936.3059123357137,100.0,True
P20,A,14,gamma,1799551287-γ-3,569.5926507314047,13.333333333333334,True
P20,C,15,alpha,1799551287-α-1,660.9703381856282,93.33333333333333,True
P20,A,16,alpha,1799551287-α-3,436.0637585322062,26.666666666666668,True
P20,A,17,beta,1799551287-β-3,436.17411454518634,16.666666666666664,True
P20,B,18,alpha,1799551287-α-8,864.7795359293619,100.0,True
P20,B,19,gamma,1799551287-γ-6,1043.2939608891804,100.0,True
P20,B,20,alpha,1799551287-α-9,905.4792165756226,100.0,True
P20,C,21,alpha,1799551287-α-6,641.2607749303182,100.0,True
P20,A,22,beta,1799551287-β-2,527.5845766067505,13.333333333333334,True
P20,B,23,gamma,1799551287-γ-9,999.7021913528442,100.0,True
P20,B,24,alpha,1799551287-α-2,866.7943716049194,100.0,True
P20,C,25,gamma,1799551287-γ-4,710.3803555170695,100.0,True
P20,A,26,beta,1799551287-β-4,486.2337350845337,13.333333333333334,True
P20,C,27,beta,1799551287-β-8,591.8242772420247,100.0,True
