condition,target_finger,n,n_judged,fa,rt_s
A,L5,31,31,0.0967741935483871,0.44149809498940745
A,L4,27,27,0.2592592592592593,0.45685603883531356
A,L3,27,27,0.037037037037037035,0.5214027298821343
A,L2,32,32,0.375,0.43499755859375
A,L1,16,16,0.0,0.49799101054668427
A,R1,22,22,0.0,0.5127608450976285
A,R2,29,29,0.3103448275862069,0.4522053126631112
A,R3,35,35,0.37142857142857144,0.5148606300354004
A,R4,23,23,0.17391304347826086,0.5903319586878237
A,R5,28,28,0.17857142857142858,0.5353203330721173
B,L5,17,17,1.0,0.9734023318571203
B,L4,21,21,1.0,1.0665688514709473
B,L3,29,29,0.9310344827586207,1.0477109284236514
B,L2,34,34,0.9705882352941176,0.9017200820586261
B,L1,30,30,1.0,0.8984009981155395
B,R1,18,18,1.0,0.868493013911777
B,R2,33,33,1.0,0.9385482686938662
B,R3,30,30,0.9666666666666667,1.2240445534388225
B,R4,35,35,0.9714285714285714,1.069299214226859
B,R5,23,23,1.0,0.9102521979290507
C,L5,23,23,0.9565217391304348,0.911574125289917
C,L4,34,34,1.0,0.7255453572553747
C,L3,36,36,1.0,0.6873263915379842
C,L2,36,36,1.0,0.662846048672994
C,L1,16,16,1.0,0.8585047572851181
C,R1,24,24,0.9583333333333333,0.7336345116297404
C,R2,30,30,0.9333333333333332,0.6390185435612996
C,R3,27,27,1.0,0.6952734346742984
C,R4,24,24,1.0,0.6729871928691864
C,R5,20,20,1.0,0.8297536253929139
