participant,condition,finger_id,n,n_left,n_right,n_judged,fa,rt_s,n_rt_complete,rt_complete_s
P20,A,1,38,16,22,38,0.0,0.5065419673919678,0,
P20,A,2,61,32,29,61,0.3442622950819672,0.4431782941349217,21,0.41747654052007765
P20,A,3,62,27,35,62,0.22580645161290322,0.5177096090009136,14,0.42340872968946186
P20,A,4,50,27,23,50,0.22,0.5182549619674682,11,0.529280814257535
P20,A,5,59,31,28,59,0.13559322033898305,0.4860239028930664,8,0.5766274631023407
P20,B,1,48,30,18,48,1.0,0.8871855040391287,48,0.8871855040391287
P20,B,2,67,34,33,67,0.9850746268656716,0.9198593381625503,66,0.9232204502279108
P20,B,3,59,29,30,59,0.9491525423728814,1.1373720936856027,56,1.1436409567083632
P20,B,4,56,21,35,56,0.9821428571428571,1.068275328193392,55,1.0712246851487592
P20,B,5,40,17,23,40,1.0,0.9370910048484802,40,0.9370910048484802
P20,C,1,40,16,24,40,0.975,0.7835826098918914,39,0.7809554430154654
P20,C,2,66,36,30,66,0.9696969696969697,0.6520153645313147,64,0.652271956205368
P20,C,3,63,36,27,63,1.0,0.6907322671678331,63,0.6907322671678331
P20,C,4,58,34,24,58,1.0,0.7037971513024692,58,0.7037971513024692
P20,C,5,43,23,20,43,0.9767441860465116,0.8735180788261946,42,0.8659383001781645
