participant,condition,theta,fa,n_trials,n_events,source
P20,B,0.3,0.9740740740740742,9,270,automatic_target_probability
P20,B,0.35,0.9703703703703704,9,270,automatic_target_probability
P20,B,0.4,0.9592592592592593,9,270,automatic_target_probability
P20,B,0.45,0.9518518518518518,9,270,automatic_target_probability
P20,B,0.5,0.9407407407407408,9,270,automatic_target_probability
P20,C,0.3,0.9666666666666666,9,270,automatic_target_probability
P20,C,0.35,0.9518518518518518,9,270,automatic_target_probability
P20,C,0.4,0.9296296296296297,9,270,automatic_target_probability
P20,C,0.45,0.8851851851851851,9,270,automatic_target_probability
P20,C,0.5,0.8444444444444444,9,270,automatic_target_probability
