participant,condition,trial_index,level,sequence,rt_ms,fa_pct,included
P04,B,1,gamma,1799551287-γ-9,2037.86432332006,96.66666666666667,True
P04,C,2,beta,1799551287-β-5,1055.4901997248332,100.0,True
P04,A,3,beta,1799551287-β-7,517.5801912943522,16.666666666666664,True
P04,B,4,alpha,1799551287-α-2,1169.6922620137534,96.66666666666667,True
P04,C,5,beta,1799551287-β-8,811.8820349375408,100.0,True
P04,B,6,gamma,1799551287-γ-2,1367.7818377812703,100.0,True
P04,B,7,beta,1799551287-β-9,1155.2588542302449,100.0,True
P04,A,8,alpha,1799551287-α-3,447.23641077677405,16.666666666666664,True
P04,C,9,beta,1799551287-β-3,956.5906524658203,100.0,True
P04,C,10,alpha,1799551287-α-9,831.896185874939,100.0,True
P04,A,11,beta,1799551287-β-2,500.09044011433923,10.0,True
P04,B,12,gamma,1799551287-γ-6,1341.8793996175132,100.0,True
P04,C,13,alpha,1799551287-α-5,697.3204453786213,100.0,True
P04,A,14,alpha,1799551287-α-6,447.4983135859171,20.0,True
P04,C,15,gamma,1799551287-γ-7,919.1547393798828,100.0,True
P04,C,16,gamma,1799551287-γ-1,930.9688886006672,100.0,True
P04,C,17,alpha,1799551287-α-1,764.5412683486938,96.66666666666667,True
P04,B,18,beta,1799551287-β-4,1083.4073543548584,96.66666666666667,True
P04,B,19,beta,1799551287-β-1,1225.0915845235188,100.0,True
P04,A,20,gamma,1799551287-γ-4,578.3225174607902,3.3333333333333335,True
P04,A,21,gamma,1799551287-γ-5,467.6756540934245,20.0,True
P04,B,22,alpha,1799551287-α-8,999.5040814081829,100.0,True
P04,C,23,gamma,1799551287-γ-3,790.0779088338215,100.0,True
P04,B,24,alpha,1799551287-α-4,1109.728988011678,96.66666666666667,True
P04,A,25,gamma,1799551287-γ-8,557.5060129165649,30.0,True
P04,A,26,alpha,1799551287-α-7,410.30908482415333,13.333333333333334,True
P04,A,27,beta,1799551287-β-6,366.42747720082605,13.333333333333334,True
