participant,condition,theta,fa,n_trials,n_events,source
P04,B,0.3,0.9851851851851853,9,270,automatic_target_probability
P04,B,0.35,0.9851851851851853,9,270,automatic_target_probability
P04,B,0.4,0.9851851851851853,9,270,automatic_target_probability
P04,B,0.45,0.9777777777777779,9,270,automatic_target_probability
P04,B,0.5,0.9777777777777779,9,270,automatic_target_probability
P04,C,0.3,0.9962962962962963,9,270,automatic_target_probability
P04,C,0.35,0.9962962962962963,9,270,automatic_target_probability
P04,C,0.4,0.9962962962962963,9,270,automatic_target_probability
P04,C,0.45,0.9888888888888889,9,270,automatic_target_probability
P04,C,0.5,0.9740740740740742,9,270,automatic_target_probability
