participant,condition,category,count,n_events,proportion
P04,A,Correct key + correct finger,43,270,0.15925925925925927
P04,A,Correct key + wrong finger,224,270,0.8296296296296296
P04,A,Wrong key + correct finger,0,270,0.0
P04,A,Wrong key + wrong finger,3,270,0.011111111111111112
P04,A,Unresolved finger,0,270,0.0
P04,A,No response (timeout),0,270,0.0
P04,B,Correct key + correct finger,265,270,0.9814814814814815
P04,B,Correct key + wrong finger,4,270,0.014814814814814815
P04,B,Wrong key + correct finger,0,270,0.0
P04,B,Wrong key + wrong finger,0,270,0.0
P04,B,Unresolved finger,0,270,0.0
P04,B,No response (timeout),1,270,0.003703703703703704
P04,C,Correct key + correct finger,269,270,0.9962962962962963
P04,C,Correct key + wrong finger,1,270,0.003703703703703704
P04,C,Wrong key + correct finger,0,270,0.0
P04,C,Wrong key + wrong finger,0,270,0.0
P04,C,Unresolved finger,0,270,0.0
P04,C,No response (timeout),0,270,0.0
