condition,target_finger,n,n_judged,fa,rt_s
A,L5,17,17,0.0,0.44344261113335104
A,L4,26,26,0.07692307692307693,0.45028427930978626
A,L3,28,28,0.14285714285714288,0.4191858768463135
A,L2,43,43,0.18604651162790697,0.5338423141213351
A,L1,19,19,0.0,0.5411506075608102
A,R1,29,29,0.0,0.43412876951283424
A,R2,35,35,0.42857142857142855,0.4638625144958496
A,R3,24,24,0.2916666666666667,0.46566665172576904
A,R4,30,30,0.2,0.48497548898061116
A,R5,19,19,0.052631578947368425,0.5045645613419382
B,L5,28,28,1.0,1.2740740009716578
B,L4,23,23,0.9565217391304348,1.6511700878972593
B,L3,28,28,0.9285714285714286,1.4170275841440474
B,L2,28,28,1.0,1.1830584577151708
B,L1,25,25,1.0,1.0855666923522949
B,R1,17,17,1.0,0.9739798377541935
B,R2,26,26,1.0,1.0470140622212336
B,R3,34,34,1.0,1.475662722307093
B,R4,32,32,0.96875,1.44694934040308
B,R5,28,28,1.0,1.0293179069246565
C,L5,25,25,1.0,0.9878059291839599
C,L4,33,33,1.0,1.120582963481094
C,L3,36,36,0.9722222222222223,0.8482728136910332
C,L2,31,31,1.0,0.696799724332748
C,L1,18,18,1.0,0.804910871717665
C,R1,18,18,1.0,0.8244947327507867
C,R2,31,31,1.0,0.678400339618806
C,R3,34,34,1.0,0.8375351358862484
C,R4,20,20,1.0,0.8225712895393371
C,R5,24,24,1.0,0.9848891297976176
