participant,condition,n_trials,n_analyzed,key_accuracy,fa_main,fa_given_key,rt_correct_key_s,rt_complete_s
P04,A,9,9,0.9888888888888889,0.15925925925925927,0.16044517423827767,0.47696067802968245,0.46870506633946923
P04,B,9,9,0.9962962962962963,0.9814814814814815,0.9851851851851853,1.276689853917898,1.2779926957363763
P04,C,9,9,1.0,0.9962962962962963,0.9962962962962963,0.8619913692827579,0.8622791455318797
