participant,condition,theta,fa,n_trials,n_events,source
P17,B,0.3,0.9370370370370371,9,270,automatic_target_probability
P17,B,0.35,0.9296296296296297,9,270,automatic_target_probability
P17,B,0.4,0.8962962962962963,9,270,automatic_target_probability
P17,B,0.45,0.8444444444444446,9,270,automatic_target_probability
P17,B,0.5,0.7925925925925926,9,270,automatic_target_probability
P17,C,0.3,0.9555555555555555,9,270,automatic_target_probability
P17,C,0.35,0.9481481481481482,9,270,automatic_target_probability
P17,C,0.4,0.9296296296296297,9,270,automatic_target_probability
P17,C,0.45,0.9185185185185186,9,270,automatic_target_probability
P17,C,0.5,0.8740740740740741,9,270,automatic_target_probability
