condition,n_events,median_ms,mean_ms,sd_ms,min_ms,p95_ms,max_ms
A,267,374.50718879699707,446.19080279203837,387.90435218565,254.61983680725098,715.3975009918206,4154.469966888428
B,270,756.7697763442993,857.414209401166,332.86124633829064,470.88098526000977,1439.5704865455623,4283.4038734436035
C,269,608.3571910858154,659.749316460138,248.21018694321683,334.63191986083984,1000.3459930419922,2367.3911094665527
