condition,target_finger,n,n_judged,fa,rt_s
A,L5,31,31,0.0,0.4114243599676316
A,L4,28,28,0.03571428571428572,0.4049085634095328
A,L3,31,31,0.1935483870967742,0.4703502501210859
A,L2,27,27,0.33333333333333337,0.427848807087651
A,L1,20,20,0.0,0.4815360546112061
A,R1,24,24,0.25,0.3670984109242757
A,R2,31,31,0.3870967741935484,0.4415338731581165
A,R3,35,35,0.5142857142857143,0.606826046534947
A,R4,22,22,0.09090909090909091,0.38251418417150324
A,R5,21,21,0.2380952380952381,0.38936327752612887
B,L5,22,22,1.0,0.8928792043165727
B,L4,32,32,0.96875,0.9066832289099693
B,L3,32,32,1.0,0.7892012074589729
B,L2,29,29,1.0,0.8688174445053627
B,L1,20,20,0.95,0.9521171808242798
B,R1,26,26,1.0,0.7998865842819214
B,R2,30,30,1.0,0.7185309569040934
B,R3,30,30,0.9666666666666667,0.7942075411478678
B,R4,22,22,1.0,0.975840460170399
B,R5,27,27,0.9259259259259259,0.9520165302135326
C,L5,18,18,1.0,0.7893868817223443
C,L4,22,22,0.9090909090909091,0.6641360087828203
C,L3,29,29,1.0,0.5976030086648876
C,L2,46,46,1.0,0.5876829520515774
C,L1,22,22,1.0,0.7205006859519265
C,R1,14,14,1.0,0.6437733173370361
C,R2,31,31,1.0,0.5746282454459898
C,R3,27,27,1.0,0.5078395649238869
C,R4,38,38,1.0,0.8395861700961464
C,R5,23,23,0.9565217391304348,0.7230196206466012
