participant,condition,trial_index,level,sequence,rt_ms,fa_pct,included
P17,B,1,gamma,1799551287-γ-8,1413.9074484507244,93.33333333333333,True
P17,A,2,alpha,1799551287-α-3,553.2161235809326,26.666666666666668,True
P17,A,3,gamma,1799551287-γ-3,544.8810974756877,20.0,True
P17,C,4,beta,1799551287-β-9,846.7343012491863,96.66666666666667,True
P17,C,5,beta,1799551287-β-8,679.9940506617228,100.0,True
P17,A,6,alpha,1799551287-α-6,480.4593776834422,13.333333333333334,True
P17,C,7,gamma,1799551287-γ-6,726.7679055531819,100.0,True
P17,A,8,gamma,1799551287-γ-9,425.2585789252972,13.333333333333334,True
P17,B,9,alpha,1799551287-α-5,822.8958606719971,93.33333333333333,True
P17,B,10,alpha,1799551287-α-9,785.5704148610433,100.0,True
P17,B,11,beta,1799551287-β-2,825.0378608703613,100.0,True
P17,C,12,alpha,1799551287-α-1,659.7365379333496,100.0,True
P17,A,13,beta,1799551287-β-5,459.8758138459304,30.0,True
P17,C,14,beta,1799551287-β-6,660.5754772822062,100.0,True
P17,B,15,beta,1799551287-β-1,757.7375809351603,100.0,True
P17,A,16,alpha,1799551287-α-4,379.70871130625403,26.666666666666668,True
P17,A,17,beta,1799551287-β-3,379.65582211812335,13.333333333333334,True
P17,C,18,gamma,1799551287-γ-4,668.4524437476848,93.33333333333333,True
P17,B,19,alpha,1799551287-α-7,686.7471694946289,100.0,True
P17,B,20,gamma,1799551287-γ-1,884.9021434783936,100.0,True
P17,C,21,gamma,1799551287-γ-2,614.4440968831381,100.0,True
P17,A,22,gamma,1799551287-γ-5,436.0845406850179,23.333333333333332,True
P17,B,23,beta,1799551287-β-4,718.4631188710531,100.0,True
P17,C,24,alpha,1799551287-α-2,579.6968777974446,100.0,True
P17,C,25,alpha,1799551287-α-8,501.6322612762452,100.0,True
P17,B,26,gamma,1799551287-γ-7,821.4662869771322,96.66666666666667,True
P17,A,27,beta,1799551287-β-7,357.477871576945,30.0,True
