condition,target_finger,actual_finger,count
A,L1,L2,6
A,L1,L3,3
A,L1,L4,1
A,L1,L5,1
A,L1,R1,2
A,L1,R2,7
A,L2,L2,9
A,L2,L3,4
A,L2,L4,5
A,L2,R1,5
A,L2,R2,4
A,L3,L2,10
A,L3,L3,6
A,L3,L4,3
A,L3,L5,1
A,L3,R1,4
A,L3,R2,7
A,L4,L2,12
A,L4,L3,6
A,L4,L5,1
A,L4,R1,5
A,L4,R2,4
A,L5,L2,12
A,L5,L3,8
A,L5,R1,6
A,L5,R2,5
A,R1,R1,6
A,R1,R2,5
A,R1,R3,10
A,R1,R4,1
A,R1,R5,2
A,R2,L2,2
A,R2,R1,2
A,R2,R2,12
A,R2,R3,7
A,R2,R4,7
A,R2,R5,1
A,R3,L2,3
A,R3,R1,1
A,R3,R2,10
A,R3,R3,17
A,R3,R4,3
A,R3,R5,1
A,R4,L2,2
A,R4,R1,2
A,R4,R2,7
A,R4,R3,6
A,R4,R4,2
A,R4,R5,3
A,R5,R2,6
A,R5,R3,5
A,R5,R4,6
A,R5,R5,4
B,L1,L1,19
B,L1,R1,1
B,L2,L2,29
B,L3,L3,32
B,L4,L3,6
B,L4,L4,26
B,L5,L4,2
B,L5,L5,20
B,R1,R1,25
B,R1,R2,1
B,R2,R2,30
B,R3,L3,1
B,R3,R2,2
B,R3,R3,27
B,R4,R3,2
B,R4,R4,20
B,R5,R4,2
B,R5,R5,25
C,L1,L1,22
C,L2,L2,46
C,L3,L3,29
C,L4,L3,2
C,L4,L4,19
C,L4,R5,1
C,L5,L4,1
C,L5,L5,17
C,R1,R1,14
C,R2,R2,31
C,R3,R3,27
C,R4,R4,38
C,R5,R5,23
