participant,position,condition,level,fa_main_raw,fa_main_adjusted,rt_correct_key_s_raw,rt_correct_key_s_adjusted
P17,1,B,gamma,0.9333333333333333,0.9518518518518517,1.4139074484507244,1.132413368648344
P17,4,C,beta,0.9666666666666667,0.9629629629629628,0.8467343012491862,0.8762309046845175
P17,5,C,beta,1.0,0.9962962962962961,0.6799940506617228,0.709490654097054
P17,7,C,gamma,1.0,1.007407407407407,0.7267679055531819,0.8154776366582167
P17,9,B,alpha,0.9333333333333333,0.9407407407407405,0.822895860671997,0.816422592162477
P17,10,B,alpha,1.0,1.007407407407407,0.7855704148610433,0.7790971463515233
P17,11,B,beta,1.0,0.985185185185185,0.8250378608703614,0.8165562204778727
P17,12,C,alpha,1.0,0.985185185185185,0.6597365379333496,0.8379791920973729
P17,14,C,beta,1.0,0.9962962962962961,0.6605754772822062,0.6900720807175375
P17,15,B,beta,1.0,0.985185185185185,0.7577375809351603,0.7492559405426716
P17,18,C,gamma,0.9333333333333333,0.9407407407407405,0.6684524437476849,0.7571621748527196
P17,19,B,alpha,1.0,1.007407407407407,0.6867471694946289,0.6802739009851089
P17,20,B,gamma,1.0,1.0185185185185184,0.8849021434783936,0.6034080636760132
P17,21,C,gamma,1.0,1.007407407407407,0.6144440968831381,0.7031538279881728
P17,23,B,beta,1.0,0.985185185185185,0.7184631188710531,0.7099814784785644
P17,24,C,alpha,1.0,0.985185185185185,0.5796968777974446,0.7579395319614679
P17,25,C,alpha,1.0,0.985185185185185,0.5016322612762452,0.6798749154402685
P17,26,B,gamma,0.9666666666666667,0.985185185185185,0.8214662869771322,0.5399722071747518
