participant,condition,repetition,fa_main,rt_correct_key_s
P17,B,1,0.9555555555555556,1.0206137233310277
P17,B,2,1.0,0.8094033797581991
P17,B,3,0.9888888888888889,0.7422255251142714
P17,C,1,0.9888888888888889,0.7444129149119059
P17,C,2,0.9777777777777779,0.6427144574022842
P17,C,3,1.0,0.5922172784805299
