participant,condition,finger_id,n,n_left,n_right,n_judged,fa,rt_s,n_rt_complete,rt_complete_s
P17,A,1,44,20,24,44,0.13636363636363635,0.41911552169106225,6,0.40451300144195557
P17,A,2,58,27,31,58,0.3620689655172414,0.4351632389528998,21,0.5072998092288062
P17,A,3,66,31,35,66,0.36363636363636365,0.5427237785223759,24,0.42631174127260846
P17,A,4,50,28,22,50,0.06,0.3950550365447998,3,0.4920824368794759
P17,A,5,52,31,21,52,0.09615384615384616,0.40251507667394787,5,0.4562185764312744
P17,B,1,46,20,26,46,0.9782608695652174,0.8660738001699033,45,0.8634885946909586
P17,B,2,59,29,30,59,1.0,0.7924005864030224,59,0.7924005864030224
P17,B,3,62,32,30,62,0.9838709677419355,0.7916236269858575,61,0.792381356974117
P17,B,4,54,32,22,54,0.9814814814814815,0.9348583972012555,53,0.9386694386320295
P17,B,5,49,22,27,49,0.9591836734693877,0.9254650777699996,47,0.9082922986213197
P17,C,1,36,22,14,36,1.0,0.6906622648239136,36,0.6906622648239136
P17,C,2,77,46,31,77,1.0,0.5824271610804966,77,0.5824271610804966
P17,C,3,56,29,27,56,1.0,0.5543242054326194,56,0.5543242054326194
P17,C,4,60,22,38,60,0.9666666666666667,0.7752544442812602,58,0.7853116125896059
P17,C,5,41,18,23,41,0.975609756097561,0.7521564669725371,40,0.7551102757453918
