a_occurrence,metric,n,mean,sd,sem,ci95_lo,ci95_hi
1,dominant_share_pct,13,44.615384615384606,18.132151796599562,5.028954079779709,33.65823494655322,55.57253428421599
2,dominant_share_pct,13,54.78337754199823,21.057685549819155,5.840351153266929,42.058345519498445,67.50840956449801
3,dominant_share_pct,13,42.56410256410257,13.134196682976942,3.642770738654032,34.6271869431868,50.50101818501834
4,dominant_share_pct,13,48.717948717948715,10.847295407787955,3.0084984456065027,42.162993706627354,55.27290372927008
5,dominant_share_pct,13,47.94871794871796,20.391467966087333,5.6555756410545595,35.626277182834826,60.2711587146011
6,dominant_share_pct,13,56.923076923076934,19.41083786910361,5.38359778744394,45.19322499402597,68.6529288521279
7,dominant_share_pct,13,47.97524314765695,19.46410336986572,5.39837097930633,36.213203198641075,59.73728309667282
8,dominant_share_pct,13,58.56763925729444,18.328415210362078,5.08338775684266,47.491888794512334,69.64338972007654
9,dominant_share_pct,13,58.97435897435897,20.247753207986065,5.615716338794941,46.73876416762067,71.20995378109727
1,effective_fingers,13,4.100443674766806,1.47707449830257,0.40966675702385874,3.2078564886750556,4.993030860858557
2,effective_fingers,13,3.3099253127075254,1.4461236431897193,0.40108253432164026,2.4360415411720893,4.183809084242962
3,effective_fingers,13,4.244277286033427,1.550734132673783,0.43009626384365396,3.307178028378932,5.1813765436879216
4,effective_fingers,13,3.597276284106662,1.0161190461297347,0.28182071713817824,2.9832416899399803,4.211310878273344
5,effective_fingers,13,4.179752839758544,1.6577500428384302,0.4597771370274296,3.1779845148155133,5.181521164701575
6,effective_fingers,13,3.143300374052285,1.4145520406304541,0.39232614725425563,2.288495131000799,3.9981056171037714
7,effective_fingers,13,3.620876909419134,1.3626784889638552,0.3779390126100746,2.797418539912539,4.444335278925729
8,effective_fingers,13,2.9868987949138344,1.236669346055638,0.3429903644613941,2.2395869883731105,3.734210601454558
9,effective_fingers,13,2.907533217072455,1.7372950862851975,0.48183896263176274,1.8576963034568221,3.957370130688088
1,finger_switch_rate_pct,13,71.61803713527851,21.996731919276325,6.10079575596817,58.32554507099569,84.91052919956134
2,finger_switch_rate_pct,13,59.53012504736641,29.225599606838863,8.105722918356749,41.86927195912304,77.19097813560978
3,finger_switch_rate_pct,13,71.35278514588859,18.04915862856216,5.005935916481859,60.44578774656594,82.25978254521124
4,finger_switch_rate_pct,13,65.25198938992042,13.968818856326438,3.8742532803194782,56.81071663738,73.69326214246085
5,finger_switch_rate_pct,13,67.90450928381962,23.190973999357446,6.432018914048881,53.89034395322764,81.9186746144116
6,finger_switch_rate_pct,13,58.62068965517241,24.825989731557673,6.885490687790282,43.61849420606072,73.62288510428411
7,finger_switch_rate_pct,13,66.90981432360742,23.243660697991096,6.446631575084154,52.86381073967621,80.95581790753863
8,finger_switch_rate_pct,13,51.657824933687,22.71149972777563,6.2990366777831905,37.93340300558855,65.38224686178546
9,finger_switch_rate_pct,13,50.92838196286472,27.047683491034228,7.501677669957289,34.58363041153362,67.27313351419582
1,key_accuracy_pct,13,98.71794871794873,2.1681454519599694,0.6013353538235165,97.40775153410557,100.02814590179189
2,key_accuracy_pct,13,98.18744473916887,2.2436641493863685,0.6222804719640652,96.83161206320219,99.54327741513555
3,key_accuracy_pct,13,99.4871794871795,1.2517793603313496,0.3471811284032457,98.73073679039616,100.24362218396284
4,key_accuracy_pct,13,99.23076923076923,1.4617633655117133,0.40542021284209934,98.34743446962244,100.11410399191601
5,key_accuracy_pct,13,98.71794871794872,2.1681454519599694,0.6013353538235165,97.40775153410556,100.02814590179187
6,key_accuracy_pct,13,99.74358974358975,0.9245003270420473,0.2564102564102561,99.18491978726482,100.30225969991469
7,key_accuracy_pct,13,99.23076923076925,1.4617633655117133,0.40542021284209934,98.34743446962247,100.11410399191604
8,key_accuracy_pct,13,98.71794871794872,2.5598254926276836,0.7099678515314599,97.1710616543807,100.26483578151674
9,key_accuracy_pct,13,100.0,0.0,0.0,100.0,100.0
1,median_correct_key_rt_ms,13,496.37547823098987,156.37504391848682,43.37063377315673,401.8789849352372,590.8719715267425
2,median_correct_key_rt_ms,13,446.48225490863507,65.99194150715374,18.30287145165101,406.6037237700278,486.36078604724236
3,median_correct_key_rt_ms,13,452.6009284532987,63.78562287765275,17.69094876329122,414.0556623188542,491.1461945877432
4,median_correct_key_rt_ms,13,418.3206925025353,66.67588476349276,18.4925631809001,378.02885859055834,458.6125264145122
5,median_correct_key_rt_ms,13,457.311015862685,59.385059080660305,16.47045196244455,421.424983816493,493.197047908877
6,median_correct_key_rt_ms,13,388.09680938720703,45.29948028213504,12.563815300700604,360.72260742047115,415.4710113539429
7,median_correct_key_rt_ms,13,418.0517655152541,60.7621706455484,16.85239399007828,381.33355327906463,454.76997775144355
8,median_correct_key_rt_ms,13,389.0239550517156,47.22590769641054,13.098110133056743,360.4856246494172,417.56228545401393
9,median_correct_key_rt_ms,13,393.31081280341516,59.05640565292459,16.379299902017,357.6233840359333,428.998241570897
1,unique_fingers,13,5.3076923076923075,1.702185623672077,0.47210134973133255,4.279071829994465,6.33631278539015
2,unique_fingers,13,4.538461538461538,1.8081014266989475,0.5014771080925114,3.4458367815651547,5.631086295357922
3,unique_fingers,13,5.384615384615385,1.6092680291808412,0.4463306457828002,4.412144447310161,6.357086321920609
4,unique_fingers,13,4.923076923076923,0.9540735874430286,0.26461240308397815,4.346536024348476,5.499617821805371
5,unique_fingers,13,5.461538461538462,1.6641005886756874,0.46153846153846156,4.4559325401535865,6.467144382923337
6,unique_fingers,13,4.3076923076923075,1.6525039276108335,0.4583221264543456,3.3090941784532135,5.306290436931402
