participant,condition,n_trials,n_analyzed,key_accuracy,fa_main,fa_given_key,rt_correct_key_s,rt_complete_s
P01,A,9,9,1.0,0.17407407407407408,0.17407407407407408,0.47736026181115043,0.49100559678657973
P01,B,9,9,1.0,0.9814814814814815,0.9814814814814815,1.041412971637867,1.0355772551262785
P01,C,9,9,0.9962962962962963,0.9888888888888889,0.9925925925925926,0.7063370458619957,0.706943155592146
P02,A,9,9,0.9738186462324392,0.13001277139208176,0.1335918019826066,0.4432867054892968,0.42088102234734426
P02,B,9,9,0.9666666666666666,0.8851851851851852,0.9129111132942549,0.7932141818987856,0.7986918878874171
P02,C,9,9,0.9888888888888889,0.9592592592592593,0.969859514687101,0.668225822138147,0.6682909543252621
P03,A,9,9,0.974074074074074,0.18148148148148147,0.18600620324758255,0.4792747421500414,0.4847850700219472
P03,B,9,9,0.9925925925925926,0.9666666666666666,0.9738186462324394,0.9512561944557181,0.9497336587708397
P03,C,9,9,0.9925925925925926,0.9851851851851853,0.9924648786717754,0.7689851793749578,0.7714459454680507
P04,A,9,9,0.9888888888888889,0.15925925925925927,0.16044517423827767,0.47696067802968245,0.46870506633946923
P04,B,9,9,0.9962962962962963,0.9814814814814815,0.9851851851851853,1.276689853917898,1.2779926957363763
P04,C,9,9,1.0,0.9962962962962963,0.9962962962962963,0.8619913692827579,0.8622791455318797
P05,A,9,9,0.9925925925925926,0.15925925925925927,0.1598978288633461,0.5576553324629977,0.6293085822352658
P05,B,9,9,0.9629629629629631,0.9370370370370371,0.9717948717948717,1.1088104836451702,1.1136916949685878
P05,C,9,9,1.0,0.9777777777777779,0.9777777777777779,0.8325903053636904,0.8266101844151892
P06,A,9,9,0.9962962962962963,0.17037037037037037,0.1711366538952746,0.4823550813499538,0.45015835607493365
P06,B,9,9,1.0,0.9555555555555555,0.9555555555555555,1.079824588033888,1.0705994504502874
P06,C,9,9,1.0,1.0,1.0,0.7881622773629648,0.7881622773629648
P07,A,9,9,0.9925925925925926,0.1962962962962963,0.19757343550446999,0.45040856637869453,0.44280722835076547
P07,B,9,9,1.0,0.9814814814814815,0.9814814814814815,0.8842287496284204,0.8846808949606063
P07,C,9,9,0.9962962962962963,0.9555555555555555,0.9592592592592593,0.8293946181525063,0.8272751111384836
P08,A,9,9,0.9962962962962963,0.2222222222222222,0.22324393358876118,0.6284592600770076,0.6642986282154365
P08,B,9,9,0.9925925925925926,0.8851851851851851,0.8915343915343915,1.1613388084860707,1.156097766276061
P08,C,9,9,1.0,0.9814814814814815,0.9814814814814815,0.7144428288495099,0.7123056706391583
P09,A,9,9,0.9962962962962963,0.1888888888888889,0.18991060025542786,0.4177088718609182,0.4175905543975729
P09,B,9,9,0.9925925925925926,0.9444444444444444,0.9514687100893996,0.9758858715741875,0.9691607629245834
P09,C,9,9,1.0,0.9925925925925926,0.9925925925925926,0.6556149226647837,0.655706949952614
P10,A,9,9,0.9888888888888889,0.24814814814814815,0.2504469987228608,0.4689121612339336,0.48506396509180166
P10,B,9,9,0.9888888888888889,0.925925925925926,0.9362616310892172,0.958054502320059,0.9543323294720919
P10,C,9,9,0.9962962962962963,0.9925925925925926,0.9962962962962963,0.6423610940594631,0.642291430891093
P11,A,9,9,0.9925925925925926,0.22592592592592592,0.22681992337164752,0.3846849981700171,0.42006742874743064
P11,B,9,9,0.9629629629629631,0.9333333333333333,0.9693212917350849,0.7427937528769957,0.7406321136809688
P11,C,9,9,0.9925925925925926,0.9666666666666666,0.9738186462324394,0.5145555984319246,0.5160246233047523
P12,A,9,9,0.9962962962962963,0.16296296296296298,0.1639846743295019,0.5084720471200662,0.49928558277495116
P12,B,9,9,0.9962962962962963,0.9407407407407408,0.9443167305236272,0.9430992590513265,0.9488497514109179
P12,C,9,9,1.0,0.9814814814814815,0.9814814814814815,0.7284600346176712,0.7261344811316498
P13,A,9,9,0.9962962962962963,0.2185185185185185,0.219029374201788,0.47263476373592095,0.4544796272350157
P13,B,9,9,0.9925925925925926,0.9370370370370371,0.9443167305236272,0.8827013341555346,0.8872556021469742
P13,C,9,9,1.0,0.9962962962962963,0.9962962962962963,0.6586251550250583,0.6580913799171398
P14,A,9,9,0.9962962962962963,0.1703703703703704,0.17088122605363987,0.5675065034194011,0.5430663017684191
P14,B,9,9,0.9962962962962963,0.9518518518518518,0.9551724137931035,1.0133541030749813,1.0179252930911031
P14,C,9,9,1.0,0.9703703703703703,0.9703703703703703,0.8672385648444847,0.8669911487805889
P15,A,9,9,0.9888888888888889,0.19259259259259257,0.19399744572158364,0.49789222218524454,0.4934759351206415
P15,B,9,9,0.9851851851851853,0.9407407407407408,0.954643313264003,0.9111339541535117,0.9066569470663937
P15,C,9,9,1.0,0.9777777777777779,0.9777777777777779,0.6364186940369784,0.6381438508213839
P16,A,9,9,0.9851851851851853,0.1962962962962963,0.19846743295019154,0.5004388038530507,0.4935045919921779
P16,B,9,9,1.0,0.9518518518518518,0.9518518518518518,0.9904169303399544,0.9977923158909624
P16,C,9,9,0.9925925925925926,0.9925925925925926,1.0,0.8205649453561424,0.8205649453561424
P17,A,9,9,0.9888888888888889,0.21851851851851853,0.22068965517241382,0.44629088191084787,0.4474298760584003
P17,B,9,9,1.0,0.9814814814814815,0.9814814814814815,0.857414209401166,0.8581035581345847
