participant,condition,finger_id,successes,trials,fa
P17,B,4,53,54,0.9814814814814815
P17,B,5,47,49,0.9591836734693877
P17,C,1,36,36,1.0
P17,C,2,77,77,1.0
P17,C,3,56,56,1.0
P17,C,4,58,60,0.9666666666666667
P17,C,5,40,41,0.975609756097561
P18,B,1,47,47,1.0
P18,B,2,55,57,0.9649122807017544
P18,B,3,65,69,0.9420289855072463
P18,B,4,49,49,1.0
P18,B,5,46,48,0.9583333333333334
P18,C,1,46,46,1.0
P18,C,2,68,69,0.9855072463768116
P18,C,3,54,56,0.9642857142857143
P18,C,4,58,59,0.9830508474576272
P18,C,5,40,40,1.0
P19,B,1,31,33,0.9393939393939394
P19,B,2,52,58,0.896551724137931
P19,B,3,61,64,0.953125
P19,B,4,53,58,0.9137931034482759
P19,B,5,46,57,0.8070175438596491
P19,C,1,52,52,1.0
P19,C,2,69,70,0.9857142857142858
P19,C,3,59,59,1.0
P19,C,4,53,53,1.0
P19,C,5,34,36,0.9444444444444444
P20,B,1,48,48,1.0
P20,B,2,66,67,0.9850746268656716
P20,B,3,56,59,0.9491525423728814
P20,B,4,55,56,0.9821428571428571
P20,B,5,40,40,1.0
P20,C,1,39,40,0.975
P20,C,2,64,66,0.9696969696969697
P20,C,3,63,63,1.0
P20,C,4,58,58,1.0
P20,C,5,42,43,0.9767441860465116
