participant,condition,repetition,fa_main,rt_correct_key_s,rt_complete_s
P01,B,1,1.0,1.008341630299886,1.008341630299886
P01,B,2,0.9555555555555556,0.9889543241924709,0.9796679622724037
P01,B,3,0.9888888888888889,1.1269429604212442,1.1187221728065462
P01,C,1,0.9888888888888889,0.777924310201886,0.777924310201886
P01,C,2,1.0,0.6906290610631306,0.6906290610631306
P01,C,3,0.9777777777777779,0.6504577663209703,0.6522760955114213
P02,B,1,0.8111111111111112,0.8030707380121035,0.8296632519842667
P02,B,2,0.8777777777777778,0.7596944346246627,0.7563796307128152
P02,B,3,0.9666666666666667,0.8168773730595906,0.8100327809651692
P02,C,1,0.9666666666666668,0.6762413765735552,0.6762981186294138
P02,C,2,0.9444444444444445,0.675804054691417,0.6782534922887328
P02,C,3,0.9666666666666668,0.6526320351494683,0.6503212520576398
P03,B,1,1.0,0.988683819770813,0.988683819770813
P03,B,2,0.9555555555555556,0.9386915615235253,0.9357923409295461
P03,B,3,0.9444444444444445,0.9263932020728158,0.9247248156121604
P03,C,1,0.9777777777777779,0.8666675684552541,0.8718022514903355
P03,C,2,0.9777777777777779,0.6974314168038496,0.6996790320480463
P03,C,3,1.0,0.7428565528657701,0.7428565528657701
P04,B,1,0.9777777777777779,1.4542718131880195,1.4582166347467123
P04,B,2,0.9777777777777779,1.150231091181437,1.1487402643476214
P04,B,3,0.9888888888888889,1.2255666573842368,1.2270211881147948
P04,C,1,1.0,0.9355137083265516,0.9355137083265516
P04,C,2,1.0,0.8133904563056098,0.8133904563056098
P04,C,3,0.9888888888888889,0.837069943216112,0.8379332719634776
P05,B,1,1.0,1.2622710492875842,1.2622710492875842
P05,B,2,0.9,1.0233583222087632,1.0376074384704612
P05,B,3,0.9111111111111111,1.0408020794391633,1.0411965971477188
P05,C,1,0.9666666666666667,0.8835464477539062,0.8761370991483147
P05,C,2,1.0,0.8462798648410373,0.8462798648410373
P05,C,3,0.9666666666666667,0.7679446034961277,0.7574135892562156
P06,B,1,0.9555555555555556,1.081198231379191,1.0600239546428172
P06,B,2,0.9333333333333332,1.2313296318054199,1.228697598349405
P06,B,3,0.9777777777777779,0.9269459009170532,0.9230767983586395
P06,C,1,1.0,0.8470609002643162,0.8470609002643162
P06,C,2,1.0,0.7489310238096448,0.7489310238096448
P06,C,3,1.0,0.7684949080149334,0.7684949080149334
P07,B,1,0.9666666666666668,0.917533532778422,0.9194717704890919
P07,B,2,0.9888888888888889,0.897367983394199,0.8977337466345894
P07,B,3,0.9888888888888889,0.8377847327126396,0.8368371677581378
P07,C,1,0.9333333333333332,0.8957861423492431,0.8883108188914157
P07,C,2,0.9777777777777779,0.7771724579434741,0.7792921652739077
P07,C,3,0.9555555555555556,0.8152252541648016,0.8142223492501275
P08,B,1,0.888888888888889,1.4083875461230202,1.3942854464563548
P08,B,2,0.8777777777777778,1.0411124467849733,1.042093144522773
P08,B,3,0.888888888888889,1.0345164325502185,1.0319147078490551
P08,C,1,0.9888888888888889,0.797242776552836,0.7976550814749181
P08,C,2,1.0,0.6796465052498711,0.6796465052498711
P08,C,3,0.9555555555555556,0.6664392047458225,0.6596154251926856
P09,B,1,0.9555555555555556,1.1417502482732138,1.1318569456415224
P09,B,2,0.9111111111111111,0.9299243396269407,0.9188814182130117
P09,B,3,0.9666666666666667,0.855983026822408,0.8567439249192161
P09,C,1,1.0,0.7194324652353922,0.7194324652353922
P09,C,2,0.9888888888888889,0.6469383239746094,0.6455909555442488
P09,C,3,0.9888888888888889,0.6004739787843493,0.6020974290782007
P10,B,1,0.888888888888889,1.0166728056253602,1.0109504251799677
P10,B,2,0.9333333333333332,0.9424097963741848,0.9375624098982507
P10,B,3,0.9555555555555556,0.9150809049606323,0.914484153338058
P10,C,1,0.9777777777777779,0.7419612982263967,0.7417523087212866
P10,C,2,1.0,0.5808036539289687,0.5808036539289687
P10,C,3,1.0,0.6043183300230238,0.6043183300230238
P11,B,1,0.9333333333333332,0.802718534545293,0.7930358377727056
P11,B,2,0.9444444444444445,0.712837529091086,0.7154807829258035
P11,B,3,0.9222222222222222,0.7128251949946085,0.7133797203443972
P11,C,1,0.9777777777777779,0.6372325314415827,0.636906424518746
P11,C,2,0.9777777777777779,0.48442256788641097,0.48665418643800046
P11,C,3,0.9444444444444445,0.4220116959677802,0.4245132589575105
P12,B,1,0.9444444444444445,1.1154144313600327,1.1270474335039966
P12,B,2,0.9444444444444445,0.8532678936633115,0.8523720270894432
P12,B,3,0.9333333333333332,0.8606154521306356,0.8671297936393138
P12,C,1,0.9666666666666667,0.7918168836169772,0.7847129613503642
P12,C,2,0.9777777777777779,0.7037124448352389,0.7038397066437878
P12,C,3,1.0,0.6898507754007975,0.6898507754007975
P13,B,1,0.9666666666666667,0.9200514988880961,0.9233701746452031
P13,B,2,0.9333333333333332,0.8851539334118138,0.8827320419874228
P13,B,3,0.9111111111111111,0.8428985701666938,0.8556645898082965
P13,C,1,0.9888888888888889,0.6940494696299235,0.6924481443061682
P13,C,2,1.0,0.6475225607554118,0.6475225607554118
P13,C,3,1.0,0.6343034346898396,0.6343034346898396
P14,B,1,0.9,1.095536405099306,1.1104421126536834
P14,B,2,0.9777777777777779,1.0001024060779147,0.996997964760614
P14,B,3,0.9777777777777779,0.9444234980477227,0.9463358018590116
P14,C,1,0.9666666666666667,0.9624615828196208,0.9574070612589519
P14,C,2,0.9666666666666667,0.8546428124109905,0.8571506526082607
P14,C,3,0.9777777777777779,0.7846112993028429,0.7864157324745542
P15,B,1,0.9111111111111111,1.0291737224863864,1.0113224450485174
P15,B,2,0.9222222222222222,0.866383413473765,0.8708036696502802
P15,B,3,0.9888888888888889,0.8378447265003833,0.8378447265003833
P15,C,1,0.9888888888888889,0.7211955282423231,0.7237348534595007
P15,C,2,0.9555555555555556,0.6086442046695285,0.6108202737475198
P15,C,3,0.9888888888888889,0.5794163491990831,0.579876425257131
P16,B,1,0.9444444444444445,1.010605321990119,1.0248168843408603
P16,B,2,0.9222222222222222,0.9920397308137682,0.9963774897541168
P16,B,3,0.9888888888888889,0.9686057382159764,0.9721825735779102
P16,C,1,0.9888888888888889,0.9375671357487354,0.9375671357487354
P16,C,2,0.9888888888888889,0.7850759026647984,0.7850759026647984
P16,C,3,1.0,0.7390517976548936,0.7390517976548936
P17,B,1,0.9555555555555556,1.0206137233310277,1.0218074685051328
P17,B,2,1.0,0.8094033797581991,0.8094033797581991
P17,B,3,0.9888888888888889,0.7422255251142714,0.7430998261404221
P17,C,1,0.9888888888888889,0.7444129149119059,0.7490687585881842
P17,C,2,0.9777777777777779,0.6427144574022842,0.6444160671461195
P17,C,3,1.0,0.5922172784805299,0.5922172784805299
P18,B,1,0.9777777777777779,0.9846469561258951,0.983996324612263
P18,B,2,0.9555555555555556,0.979286685391861,0.9758100288175126
P18,B,3,0.9777777777777779,0.8782214721043905,0.8682664316798014
P18,C,1,0.9888888888888889,0.6708984083599514,0.673348057955161
P18,C,2,0.9888888888888889,0.6081343616105588,0.6081343616105588
P18,C,3,0.9777777777777779,0.639397120475769,0.6388193407277951
P19,B,1,1.0,0.9291560226016574,0.9291560226016574
P19,B,2,0.8111111111111112,0.9016974258762144,0.9055358130170764
P19,B,3,0.888888888888889,0.8321658739511211,0.832757397773095
P19,C,1,0.9888888888888889,0.8873329771889581,0.8879249739007475
P19,C,2,0.9888888888888889,0.7094248187039547,0.7094248187039547
P19,C,3,0.9888888888888889,0.6529350920198521,0.6529350920198521
P20,B,1,0.9444444444444445,1.041358533124814,1.048221257602153
P20,B,2,1.0,1.0138214376237658,1.0138214376237658
P20,B,3,1.0,0.9342674917644924,0.9342674917644924
P20,C,1,0.9777777777777779,0.8080768956078423,0.8099171895829458
P20,C,2,0.9777777777777779,0.7249231179555258,0.7187819380608816
P20,C,3,1.0,0.6478218025631374,0.6478218025631374
