metric,level,unit,n,generated_reference_mean,actual_mean,difference_mean,difference_sd,difference_sem,difference_ci95_lo,difference_ci95_hi
finger_transition_distance,alpha,finger steps,14,0.9762558869701726,0.35466952769908433,-0.6215863592710883,0.28150070600397165,0.07523422828584572,-0.7841200279529957,-0.45905269058918086
finger_transition_distance,beta,finger steps,14,1.3108465608465607,0.4261452984769898,-0.8847012623695711,0.2386032911935676,0.06376941192878471,-1.022466701141582,-0.7469358235975603
finger_transition_distance,gamma,finger steps,14,2.109357423881233,0.7039914108879627,-1.405366012993271,0.3074246231298658,0.08216268657214695,-1.5828677057945135,-1.2278643201920285
hand_switch_rate,alpha,%,14,33.134594834102224,28.485525755640698,-4.649069078461524,11.339443384728213,3.030593721598087,-11.196268765074954,1.8981306081519058
hand_switch_rate,beta,%,14,45.754163734459304,32.254281022753936,-13.499882711705371,8.123434259489768,2.1710791287851707,-18.190214012233398,-8.809551411177345
hand_switch_rate,gamma,%,14,55.31055334011,51.75378580550994,-3.556767534600044,10.168145805124523,2.717551275824188,-9.42768013322109,2.3141450640210017
same_hand_key_travel,alpha,semitones,14,1.4191522762951334,2.052721923822088,0.6335696475269545,0.268131001005114,0.07166102432384829,0.47875541668769506,0.788383878366214
same_hand_key_travel,beta,semitones,14,2.59800957420005,2.6317831730393304,0.03377359883928025,0.15083650178293187,0.04031275079223199,-0.053316804428053303,0.1208640021066138
same_hand_key_travel,gamma,semitones,14,5.178787623311432,4.4622076898349485,-0.7165799334764854,0.39311192946278667,0.10506358247881374,-0.943556003999408,-0.4896038629535629
