criterion,select_metric,benefit_metric,estimator,mean_advantage,ci95_lo,ci95_hi,dz,t,p_t,p_wilcoxon,n_participants,selection_agreement_rate,selection_chance_rate,selection_p_vs_chance,note
rt,rt_complete_s,rt_complete_s,naive,0.07274917696407905,0.011270582386473993,0.1342277715416841,0.6553037141388811,2.5379803715677522,0.0236623551204799,0.041259765625,15,0.26666666666666666,0.2,0.3518378954260484,
rt,rt_complete_s,rt_complete_s,split_half,-0.018320753587202428,-0.09272554527931173,0.056084038104906885,-0.13635808841632716,-0.5281126055571135,0.6056916651939228,0.638671875,15,0.26666666666666666,0.2,0.3518378954260484,
fa,fa,rt_complete_s,naive,0.003918537346730307,-0.06575490224962366,0.07359197694308428,0.03114549339208128,0.12062597721694393,0.9057013909864026,0.97796630859375,15,0.4,0.2,0.061051429617664056,
fa,fa,rt_complete_s,split_half,-0.016071580399148945,-0.08132080144950876,0.049177640651210865,-0.13640231140775186,-0.5282838804664209,0.6055758905568125,0.5994873046875,15,0.4,0.2,0.061051429617664056,
